id,dan_toc,ten_khac,le_hoi,thoi_gian,dia_ban,y_nghia,noi_cu_tru,nhom_ngon_ngu,tin_nguong,bai_nguon,nguon,ghi_chu
dantoc-043,Cống,,lễ cúng trên nương,,,cầu mong chim thú không phá hại,Lai Châu,"Tạng - Miến, trong ngữ hệ Hán - Tạng","Thờ cúng tổ tiên 2, 3 đời theo phụ hệ, cùng với việc cúng ma bố mẹ vợ vào dịp tết.",dan-toc-cong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-2c0d71,"Nhật Nguyệt, rút từ bài dan-toc-cong-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-2c0d71",
dantoc-044,Cờ Lao,,15 tháng 7,15 tháng 7 âm lịch,,,"Hà Giang, tập trung thành từng làng khoảng 15 tới 20 nóc nhà; gồm vùng núi đất thuộc huyện Hoàng Su Phì và vùng núi đá tai mèo thuộc huyện Đồng Văn","nhóm ngôn ngữ Ka Đai, cùng nhóm với tiếng La Ha, La Chí, Pu Péo, trong ngữ hệ Thái, Ka Đai","Tin mỗi người có ba hồn; lúa, bắp và gia súc cũng đều có hồn; thờ tổ tiên ba hoặc bốn đời; thần đất là vị thần quan trọng được cả gia đình và toàn bản thờ cúng",dan-toc-co-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0091e3,"Nhật Nguyệt, rút từ bài dan-toc-co-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0091e3",
dantoc-045,Cờ Lao,,Tết Nguyên đán,,,,"Hà Giang, tập trung thành từng làng khoảng 15 tới 20 nóc nhà; gồm vùng núi đất thuộc huyện Hoàng Su Phì và vùng núi đá tai mèo thuộc huyện Đồng Văn","nhóm ngôn ngữ Ka Đai, cùng nhóm với tiếng La Ha, La Chí, Pu Péo, trong ngữ hệ Thái, Ka Đai","Tin mỗi người có ba hồn; lúa, bắp và gia súc cũng đều có hồn; thờ tổ tiên ba hoặc bốn đời; thần đất là vị thần quan trọng được cả gia đình và toàn bản thờ cúng",dan-toc-co-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0091e3,"Nhật Nguyệt, rút từ bài dan-toc-co-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0091e3",
dantoc-046,Cờ Lao,,Tết mùng 3 tháng 3,mùng 3 tháng 3 âm lịch,,,"Hà Giang, tập trung thành từng làng khoảng 15 tới 20 nóc nhà; gồm vùng núi đất thuộc huyện Hoàng Su Phì và vùng núi đá tai mèo thuộc huyện Đồng Văn","nhóm ngôn ngữ Ka Đai, cùng nhóm với tiếng La Ha, La Chí, Pu Péo, trong ngữ hệ Thái, Ka Đai","Tin mỗi người có ba hồn; lúa, bắp và gia súc cũng đều có hồn; thờ tổ tiên ba hoặc bốn đời; thần đất là vị thần quan trọng được cả gia đình và toàn bản thờ cúng",dan-toc-co-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0091e3,"Nhật Nguyệt, rút từ bài dan-toc-co-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0091e3",
dantoc-047,Cờ Lao,,mùng 5 tháng 5,mùng 5 tháng 5 âm lịch,,cúng hồn lúa,"Hà Giang, tập trung thành từng làng khoảng 15 tới 20 nóc nhà; gồm vùng núi đất thuộc huyện Hoàng Su Phì và vùng núi đá tai mèo thuộc huyện Đồng Văn","nhóm ngôn ngữ Ka Đai, cùng nhóm với tiếng La Ha, La Chí, Pu Péo, trong ngữ hệ Thái, Ka Đai","Tin mỗi người có ba hồn; lúa, bắp và gia súc cũng đều có hồn; thờ tổ tiên ba hoặc bốn đời; thần đất là vị thần quan trọng được cả gia đình và toàn bản thờ cúng",dan-toc-co-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0091e3,"Nhật Nguyệt, rút từ bài dan-toc-co-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0091e3",
dantoc-048,Cờ Lao,,mùng 9 tháng 9,mùng 9 tháng 9 âm lịch,,,"Hà Giang, tập trung thành từng làng khoảng 15 tới 20 nóc nhà; gồm vùng núi đất thuộc huyện Hoàng Su Phì và vùng núi đá tai mèo thuộc huyện Đồng Văn","nhóm ngôn ngữ Ka Đai, cùng nhóm với tiếng La Ha, La Chí, Pu Péo, trong ngữ hệ Thái, Ka Đai","Tin mỗi người có ba hồn; lúa, bắp và gia súc cũng đều có hồn; thờ tổ tiên ba hoặc bốn đời; thần đất là vị thần quan trọng được cả gia đình và toàn bản thờ cúng",dan-toc-co-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0091e3,"Nhật Nguyệt, rút từ bài dan-toc-co-lao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-0091e3",
dantoc-049,Dao,,lễ cúng mụ,khi trẻ sơ sinh được ba ngày,,,vùng lưng chừng núi hầu khắp các tỉnh miền núi miền Bắc,ngữ hệ Hmông - Dao,"vừa tin theo các tín ngưỡng nguyên thuỷ, các nghi lễ nông nghiệp, vừa chịu ảnh hưởng sâu sắc của Khổng giáo, Phật giáo và nhất là Đạo giáo; Bàn vương được coi là thuỷ tổ của người Dao nên được cúng chung với tổ tiên từng gia đình",dan-toc-dao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e30f40,"Nhật Nguyệt, rút từ bài dan-toc-dao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e30f40",
dantoc-050,Dao,,lễ cấp sắc,,,"nghi lễ truyền thống của những người đàn ông Dao đến tuổi trưởng thành, đánh dấu việc người đàn ông được công nhận là thành viên chính thức trong cộng đồng và có vai trò trong các nghi lễ tôn giáo",vùng lưng chừng núi hầu khắp các tỉnh miền núi miền Bắc,ngữ hệ Hmông - Dao,"vừa tin theo các tín ngưỡng nguyên thuỷ, các nghi lễ nông nghiệp, vừa chịu ảnh hưởng sâu sắc của Khổng giáo, Phật giáo và nhất là Đạo giáo; Bàn vương được coi là thuỷ tổ của người Dao nên được cúng chung với tổ tiên từng gia đình",dan-toc-dao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e30f40,"Nhật Nguyệt, rút từ bài dan-toc-dao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e30f40",
dantoc-051,Dao,,lễ phá ngục,ngày đầu trong ba ngày,,giải thoát hồn cho người chết,vùng lưng chừng núi hầu khắp các tỉnh miền núi miền Bắc,ngữ hệ Hmông - Dao,"vừa tin theo các tín ngưỡng nguyên thuỷ, các nghi lễ nông nghiệp, vừa chịu ảnh hưởng sâu sắc của Khổng giáo, Phật giáo và nhất là Đạo giáo; Bàn vương được coi là thuỷ tổ của người Dao nên được cúng chung với tổ tiên từng gia đình",dan-toc-dao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e30f40,"Nhật Nguyệt, rút từ bài dan-toc-dao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e30f40",
dantoc-052,Dao,,lễ tắm hương hoa,ngày thứ hai trong ba ngày,,tắm hương hoa cho người chết trước khi đưa hồn về bàn thờ tổ tiên trong nhà,vùng lưng chừng núi hầu khắp các tỉnh miền núi miền Bắc,ngữ hệ Hmông - Dao,"vừa tin theo các tín ngưỡng nguyên thuỷ, các nghi lễ nông nghiệp, vừa chịu ảnh hưởng sâu sắc của Khổng giáo, Phật giáo và nhất là Đạo giáo; Bàn vương được coi là thuỷ tổ của người Dao nên được cúng chung với tổ tiên từng gia đình",dan-toc-dao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e30f40,"Nhật Nguyệt, rút từ bài dan-toc-dao-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-e30f40",
dantoc-053,Gia Rai,,lễ bỏ mả,,,là một nghi thức lớn trong quá trình tang lễ,"các tỉnh Gia Lai, Kon Tum và Đắk Lắk, thuộc khu vực Tây Nguyên",Malayô Pôlynêixa (ngữ hệ Nam Đảo),"theo vạn vật hữu linh, thờ các thần linh (Yang) như thần nhà, thần làng, thần nước, thần vua",dan-toc-gia-rai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-f99d32,"Nhật Nguyệt, rút từ bài dan-toc-gia-rai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-f99d32",
dantoc-054,Gia Rai,,lễ đâm trâu,,,cúng thần,"các tỉnh Gia Lai, Kon Tum và Đắk Lắk, thuộc khu vực Tây Nguyên",Malayô Pôlynêixa (ngữ hệ Nam Đảo),"theo vạn vật hữu linh, thờ các thần linh (Yang) như thần nhà, thần làng, thần nước, thần vua",dan-toc-gia-rai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-f99d32,"Nhật Nguyệt, rút từ bài dan-toc-gia-rai-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-f99d32",
dantoc-055,Giáy,,Thanh minh,,,,"Lào Cai (Bát Xát, Bảo Thắng, Mường Khương), Hà Giang (Yên Minh, Đồng Văn), Lai Châu (Phong Thổ, Mường Tè)",ngữ hệ Thái - Ka Đai,"thờ cúng tổ tiên, táo quân, trời đất, thổ địa, thần giữ cửa",dan-toc-giay-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-c0e34a,"Nhật Nguyệt, rút từ bài dan-toc-giay-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-c0e34a",
dantoc-056,Giáy,,Tết Nguyên đán,,,,"Lào Cai (Bát Xát, Bảo Thắng, Mường Khương), Hà Giang (Yên Minh, Đồng Văn), Lai Châu (Phong Thổ, Mường Tè)",ngữ hệ Thái - Ka Đai,"thờ cúng tổ tiên, táo quân, trời đất, thổ địa, thần giữ cửa",dan-toc-giay-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-c0e34a,"Nhật Nguyệt, rút từ bài dan-toc-giay-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-c0e34a",
dantoc-057,Giáy,,Đoan ngọ,,,,"Lào Cai (Bát Xát, Bảo Thắng, Mường Khương), Hà Giang (Yên Minh, Đồng Văn), Lai Châu (Phong Thổ, Mường Tè)",ngữ hệ Thái - Ka Đai,"thờ cúng tổ tiên, táo quân, trời đất, thổ địa, thần giữ cửa",dan-toc-giay-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-c0e34a,"Nhật Nguyệt, rút từ bài dan-toc-giay-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-c0e34a",
dantoc-058,Giẻ Triêng,,Tết dân tộc,thường sớm hơn tết Nguyên đán,theo làng,,"Vùng quanh quần sơn Ngọc Linh, thuộc địa bàn nay là tỉnh Kon Tum và tỉnh Quảng Nam","Môn Khơ Me, ngữ hệ Nam Á","Đa thần, mọi vật và con người đều có siêu linh ẩn trú, thờ cúng nhiều thần linh gắn với sản xuất và sinh hoạt cộng đồng",dan-toc-gie-trieng-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-502d71,"Nhật Nguyệt, rút từ bài dan-toc-gie-trieng-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-502d71",
dantoc-059,Hoa,Hán,Múa lân - sư tử - rồng,"từ ngày 23 tháng chạp, tức ngày ông Táo lên trời, đến ngày 15 tháng giêng, tức Tết Nguyên tiêu",tại các chùa,,"Người Hoa cư trú ở nhiều tỉnh, thành phố, trong đó tập trung hơn ở các đô thị và vùng đồng bằng, gồm Kiên Giang, Hải Phòng, Vĩnh Long, Trà Vinh, Quảng Ninh, Đồng Nai, Hậu Giang, Minh Hải, thành phố Hồ Chí Minh.","Tiếng nói của người Hoa thuộc nhóm ngôn ngữ Hán, ngữ hệ Hán - Tạng.","Nổi bật trong các tín ngưỡng dân gian của người Hoa là thờ cúng tổ tiên, gia tộc, dòng họ; thờ cúng các vị thần phù hộ như thần bếp, thổ địa, thần tài; và một số vị thánh và bồ tát như Quan Công, bà Thiên Hậu, ông Bổn, Nam Hải Quan Âm.",dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04,"Nhật Nguyệt, rút từ bài dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04",
dantoc-060,Hoa,Hán,Thanh minh,,,,"Người Hoa cư trú ở nhiều tỉnh, thành phố, trong đó tập trung hơn ở các đô thị và vùng đồng bằng, gồm Kiên Giang, Hải Phòng, Vĩnh Long, Trà Vinh, Quảng Ninh, Đồng Nai, Hậu Giang, Minh Hải, thành phố Hồ Chí Minh.","Tiếng nói của người Hoa thuộc nhóm ngôn ngữ Hán, ngữ hệ Hán - Tạng.","Nổi bật trong các tín ngưỡng dân gian của người Hoa là thờ cúng tổ tiên, gia tộc, dòng họ; thờ cúng các vị thần phù hộ như thần bếp, thổ địa, thần tài; và một số vị thánh và bồ tát như Quan Công, bà Thiên Hậu, ông Bổn, Nam Hải Quan Âm.",dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04,"Nhật Nguyệt, rút từ bài dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04",
dantoc-061,Hoa,Hán,Trung nguyên,,,,"Người Hoa cư trú ở nhiều tỉnh, thành phố, trong đó tập trung hơn ở các đô thị và vùng đồng bằng, gồm Kiên Giang, Hải Phòng, Vĩnh Long, Trà Vinh, Quảng Ninh, Đồng Nai, Hậu Giang, Minh Hải, thành phố Hồ Chí Minh.","Tiếng nói của người Hoa thuộc nhóm ngôn ngữ Hán, ngữ hệ Hán - Tạng.","Nổi bật trong các tín ngưỡng dân gian của người Hoa là thờ cúng tổ tiên, gia tộc, dòng họ; thờ cúng các vị thần phù hộ như thần bếp, thổ địa, thần tài; và một số vị thánh và bồ tát như Quan Công, bà Thiên Hậu, ông Bổn, Nam Hải Quan Âm.",dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04,"Nhật Nguyệt, rút từ bài dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04",
dantoc-062,Hoa,Hán,Trung thu,,,,"Người Hoa cư trú ở nhiều tỉnh, thành phố, trong đó tập trung hơn ở các đô thị và vùng đồng bằng, gồm Kiên Giang, Hải Phòng, Vĩnh Long, Trà Vinh, Quảng Ninh, Đồng Nai, Hậu Giang, Minh Hải, thành phố Hồ Chí Minh.","Tiếng nói của người Hoa thuộc nhóm ngôn ngữ Hán, ngữ hệ Hán - Tạng.","Nổi bật trong các tín ngưỡng dân gian của người Hoa là thờ cúng tổ tiên, gia tộc, dòng họ; thờ cúng các vị thần phù hộ như thần bếp, thổ địa, thần tài; và một số vị thánh và bồ tát như Quan Công, bà Thiên Hậu, ông Bổn, Nam Hải Quan Âm.",dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04,"Nhật Nguyệt, rút từ bài dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04",
dantoc-063,Hoa,Hán,Tết Nguyên tiêu,ngày rằm tháng giêng,,"đặc trưng lễ tết của người Hoa, với mọi hoạt động tập trung nhất của tín ngưỡng và văn hóa truyền thống đều được biểu hiện trong dịp này","Người Hoa cư trú ở nhiều tỉnh, thành phố, trong đó tập trung hơn ở các đô thị và vùng đồng bằng, gồm Kiên Giang, Hải Phòng, Vĩnh Long, Trà Vinh, Quảng Ninh, Đồng Nai, Hậu Giang, Minh Hải, thành phố Hồ Chí Minh.","Tiếng nói của người Hoa thuộc nhóm ngôn ngữ Hán, ngữ hệ Hán - Tạng.","Nổi bật trong các tín ngưỡng dân gian của người Hoa là thờ cúng tổ tiên, gia tộc, dòng họ; thờ cúng các vị thần phù hộ như thần bếp, thổ địa, thần tài; và một số vị thánh và bồ tát như Quan Công, bà Thiên Hậu, ông Bổn, Nam Hải Quan Âm.",dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04,"Nhật Nguyệt, rút từ bài dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04",
dantoc-064,Hoa,Hán,Tết Nguyên đán,thời điểm chuyển từ năm cũ sang năm mới theo âm lịch và kéo dài tới ngày rằm tháng giêng,,,"Người Hoa cư trú ở nhiều tỉnh, thành phố, trong đó tập trung hơn ở các đô thị và vùng đồng bằng, gồm Kiên Giang, Hải Phòng, Vĩnh Long, Trà Vinh, Quảng Ninh, Đồng Nai, Hậu Giang, Minh Hải, thành phố Hồ Chí Minh.","Tiếng nói của người Hoa thuộc nhóm ngôn ngữ Hán, ngữ hệ Hán - Tạng.","Nổi bật trong các tín ngưỡng dân gian của người Hoa là thờ cúng tổ tiên, gia tộc, dòng họ; thờ cúng các vị thần phù hộ như thần bếp, thổ địa, thần tài; và một số vị thánh và bồ tát như Quan Công, bà Thiên Hậu, ông Bổn, Nam Hải Quan Âm.",dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04,"Nhật Nguyệt, rút từ bài dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04",
dantoc-065,Hoa,Hán,Đoan ngọ,,,,"Người Hoa cư trú ở nhiều tỉnh, thành phố, trong đó tập trung hơn ở các đô thị và vùng đồng bằng, gồm Kiên Giang, Hải Phòng, Vĩnh Long, Trà Vinh, Quảng Ninh, Đồng Nai, Hậu Giang, Minh Hải, thành phố Hồ Chí Minh.","Tiếng nói của người Hoa thuộc nhóm ngôn ngữ Hán, ngữ hệ Hán - Tạng.","Nổi bật trong các tín ngưỡng dân gian của người Hoa là thờ cúng tổ tiên, gia tộc, dòng họ; thờ cúng các vị thần phù hộ như thần bếp, thổ địa, thần tài; và một số vị thánh và bồ tát như Quan Công, bà Thiên Hậu, ông Bổn, Nam Hải Quan Âm.",dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04,"Nhật Nguyệt, rút từ bài dan-toc-hoa-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-973a04",
dantoc-066,Hrê,,Lễ hội có đâm trâu,,,"lễ hiến tế quy mô lớn, huy động cả cộng đồng tham gia","miền tây tỉnh Quảng Ngãi, tập trung tại các huyện Sơn Hà, Ba Tơ và Minh Long, cùng huyện An Lão thuộc tỉnh Bình Định; một số ít sinh sống ở huyện Kon Plông, tỉnh Kon Tum","nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","tín ngưỡng đa thần, quan niệm mọi vật đều có hồn hay ma và con người bị các lực lượng siêu nhiên chi phối",dan-toc-hre-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4e2ab9,"Nhật Nguyệt, rút từ bài dan-toc-hre-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4e2ab9",
dantoc-067,Hrê,,lễ cúng tập thể,dịp tết,làng,cầu mong mưa thuận và đủ nước,"miền tây tỉnh Quảng Ngãi, tập trung tại các huyện Sơn Hà, Ba Tơ và Minh Long, cùng huyện An Lão thuộc tỉnh Bình Định; một số ít sinh sống ở huyện Kon Plông, tỉnh Kon Tum","nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","tín ngưỡng đa thần, quan niệm mọi vật đều có hồn hay ma và con người bị các lực lượng siêu nhiên chi phối",dan-toc-hre-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4e2ab9,"Nhật Nguyệt, rút từ bài dan-toc-hre-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4e2ab9",
dantoc-068,Hrê,,tết,"khoảng tháng 10, sau khi thu hoạch lúa",,"cúng cho trâu và lợn để cầu sinh sôi, cúng mời tổ tiên và cúng sức khoẻ cho mọi người trong nhà","miền tây tỉnh Quảng Ngãi, tập trung tại các huyện Sơn Hà, Ba Tơ và Minh Long, cùng huyện An Lão thuộc tỉnh Bình Định; một số ít sinh sống ở huyện Kon Plông, tỉnh Kon Tum","nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","tín ngưỡng đa thần, quan niệm mọi vật đều có hồn hay ma và con người bị các lực lượng siêu nhiên chi phối",dan-toc-hre-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4e2ab9,"Nhật Nguyệt, rút từ bài dan-toc-hre-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-4e2ab9",
dantoc-069,Hà Nhì,,Tết cơm mới,,,,"Bát Xát (Lào Cai), Mường Tè (Lai Châu)","Nhóm ngôn ngữ Tạng Miến, ngữ hệ Hán Tạng, gần với Miến hơn","Tin có linh hồn, thờ cúng tổ tiên, cúng bản và thực hiện các nghi lễ nông nghiệp; thờ cúng theo gia đình, không thờ cúng chung toàn dòng họ",dan-toc-ha-nhi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-05a61f,"Nhật Nguyệt, rút từ bài dan-toc-ha-nhi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-05a61f",
dantoc-070,Hà Nhì,,Tết mồng năm tháng năm,mồng năm tháng năm,,,"Bát Xát (Lào Cai), Mường Tè (Lai Châu)","Nhóm ngôn ngữ Tạng Miến, ngữ hệ Hán Tạng, gần với Miến hơn","Tin có linh hồn, thờ cúng tổ tiên, cúng bản và thực hiện các nghi lễ nông nghiệp; thờ cúng theo gia đình, không thờ cúng chung toàn dòng họ",dan-toc-ha-nhi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-05a61f,"Nhật Nguyệt, rút từ bài dan-toc-ha-nhi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-05a61f",
dantoc-071,Hà Nhì,,Tết năm mới,đầu tháng 10 âm lịch,,,"Bát Xát (Lào Cai), Mường Tè (Lai Châu)","Nhóm ngôn ngữ Tạng Miến, ngữ hệ Hán Tạng, gần với Miến hơn","Tin có linh hồn, thờ cúng tổ tiên, cúng bản và thực hiện các nghi lễ nông nghiệp; thờ cúng theo gia đình, không thờ cúng chung toàn dòng họ",dan-toc-ha-nhi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-05a61f,"Nhật Nguyệt, rút từ bài dan-toc-ha-nhi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-05a61f",
dantoc-072,Hà Nhì,,lễ tưởng nhớ tổ tiên dòng họ,tối 30 tết,,tưởng nhớ tổ tiên dòng họ,"Bát Xát (Lào Cai), Mường Tè (Lai Châu)","Nhóm ngôn ngữ Tạng Miến, ngữ hệ Hán Tạng, gần với Miến hơn","Tin có linh hồn, thờ cúng tổ tiên, cúng bản và thực hiện các nghi lễ nông nghiệp; thờ cúng theo gia đình, không thờ cúng chung toàn dòng họ",dan-toc-ha-nhi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-05a61f,"Nhật Nguyệt, rút từ bài dan-toc-ha-nhi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-05a61f",
dantoc-073,Hà Nhì,,rằm tháng 7,rằm tháng 7,,,"Bát Xát (Lào Cai), Mường Tè (Lai Châu)","Nhóm ngôn ngữ Tạng Miến, ngữ hệ Hán Tạng, gần với Miến hơn","Tin có linh hồn, thờ cúng tổ tiên, cúng bản và thực hiện các nghi lễ nông nghiệp; thờ cúng theo gia đình, không thờ cúng chung toàn dòng họ",dan-toc-ha-nhi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-05a61f,"Nhật Nguyệt, rút từ bài dan-toc-ha-nhi-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-05a61f",
dantoc-074,Khmer (Khơ Me),,Lễ chào mặt trăng (Ok Ang Bok),Rằm tháng 10 âm lịch,,,"Đồng bằng sông Cửu Long, tập trung chủ yếu ở các tỉnh miền Tây Nam Bộ",Môn - Khơ Me,"Thờ Phật, thờ tổ tiên và thực hành các nghi lễ nông nghiệp",dan-toc-khmer-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1f250d,"Nhật Nguyệt, rút từ bài dan-toc-khmer-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1f250d",
dantoc-075,Khmer (Khơ Me),,Tết Chuôn chnam Thmây (Chôl Chnăm Thmây),"Từ ngày 1 đến ngày 3 đầu tháng Chét theo Phật lịch, khoảng tháng 4 dương lịch",,Tết mừng năm mới theo Phật lịch,"Đồng bằng sông Cửu Long, tập trung chủ yếu ở các tỉnh miền Tây Nam Bộ",Môn - Khơ Me,"Thờ Phật, thờ tổ tiên và thực hành các nghi lễ nông nghiệp",dan-toc-khmer-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1f250d,"Nhật Nguyệt, rút từ bài dan-toc-khmer-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-1f250d",
dantoc-076,Kháng,,cúng bố mẹ,ba năm một lần,,,Lai Châu và Sơn La,"nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á",thờ ma bố và có tục thờ ma mẹ; cúng bố mẹ ba năm một lần,dan-toc-khang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-a83dfd,"Nhật Nguyệt, rút từ bài dan-toc-khang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-a83dfd",
dantoc-077,Kháng,,tết Nguyên đán,,,,Lai Châu và Sơn La,"nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á",thờ ma bố và có tục thờ ma mẹ; cúng bố mẹ ba năm một lần,dan-toc-khang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-a83dfd,"Nhật Nguyệt, rút từ bài dan-toc-khang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-a83dfd",
dantoc-078,Kháng,,tết cơm mới,,,,Lai Châu và Sơn La,"nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á",thờ ma bố và có tục thờ ma mẹ; cúng bố mẹ ba năm một lần,dan-toc-khang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-a83dfd,"Nhật Nguyệt, rút từ bài dan-toc-khang-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-a83dfd",
dantoc-079,Khơ Mú,,lễ cúng bản,,,,"Các tỉnh Yên Bái, Sơn La, Lai Châu, Nghệ An","Nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","Thờ cúng năm loại ma quan trọng nhất: ma trời, ma đất, ma thuồng luồng, ma tổ tiên và ma nhà; ngoài ra còn có lễ cúng mường, lễ cúng bản, lễ cúng ma nhà và tục thờ ma dòng họ.",dan-toc-kho-mu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d7f3d5,"Nhật Nguyệt, rút từ bài dan-toc-kho-mu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-d7f3d5",
