id,nam,thu_tu,ten,ten_en,kinh_do_mat_troi,ngay_bat_dau,y_nghia,nguon,ghi_chu
2028-22,2028,22,Tiểu Tuyết,Minor Snow,240,2028-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2028-23,2028,23,Đại Tuyết,Major Snow,255,2028-12-06,Tuyết rơi dày ở phương bắc,tinh-toan,
2028-24,2028,24,Đông Chí,Winter Solstice,270,2028-12-21,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2029-01,2029,1,Tiểu Hàn,Minor Cold,285,2029-01-05,Bắt đầu rét đậm,tinh-toan,
2029-02,2029,2,Đại Hàn,Major Cold,300,2029-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2029-03,2029,3,Lập Xuân,Start of Spring,315,2029-02-03,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2029-04,2029,4,Vũ Thủy,Rain Water,330,2029-02-18,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2029-05,2029,5,Kinh Trập,Awakening of Insects,345,2029-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2029-06,2029,6,Xuân Phân,Vernal Equinox,0,2029-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2029-07,2029,7,Thanh Minh,Clear and Bright,15,2029-04-04,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2029-08,2029,8,Cốc Vũ,Grain Rain,30,2029-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2029-09,2029,9,Lập Hạ,Start of Summer,45,2029-05-05,Bắt đầu mùa hè,tinh-toan,
2029-10,2029,10,Tiểu Mãn,Grain Buds,60,2029-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2029-11,2029,11,Mang Chủng,Grain in Ear,75,2029-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2029-12,2029,12,Hạ Chí,Summer Solstice,90,2029-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2029-13,2029,13,Tiểu Thử,Minor Heat,105,2029-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2029-14,2029,14,Đại Thử,Major Heat,120,2029-07-22,Thời điểm nóng nhất trong năm,tinh-toan,
2029-15,2029,15,Lập Thu,Start of Autumn,135,2029-08-07,Bắt đầu mùa thu,tinh-toan,
2029-16,2029,16,Xử Thử,End of Heat,150,2029-08-23,Cái nóng lui dần,tinh-toan,
2029-17,2029,17,Bạch Lộ,White Dew,165,2029-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2029-18,2029,18,Thu Phân,Autumnal Equinox,180,2029-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2029-19,2029,19,Hàn Lộ,Cold Dew,195,2029-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2029-20,2029,20,Sương Giáng,Frost Descent,210,2029-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2029-21,2029,21,Lập Đông,Start of Winter,225,2029-11-07,Bắt đầu mùa đông,tinh-toan,
2029-22,2029,22,Tiểu Tuyết,Minor Snow,240,2029-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2029-23,2029,23,Đại Tuyết,Major Snow,255,2029-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2029-24,2029,24,Đông Chí,Winter Solstice,270,2029-12-21,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2030-01,2030,1,Tiểu Hàn,Minor Cold,285,2030-01-05,Bắt đầu rét đậm,tinh-toan,
2030-02,2030,2,Đại Hàn,Major Cold,300,2030-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2030-03,2030,3,Lập Xuân,Start of Spring,315,2030-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2030-04,2030,4,Vũ Thủy,Rain Water,330,2030-02-18,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2030-05,2030,5,Kinh Trập,Awakening of Insects,345,2030-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2030-06,2030,6,Xuân Phân,Vernal Equinox,0,2030-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2030-07,2030,7,Thanh Minh,Clear and Bright,15,2030-04-05,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2030-08,2030,8,Cốc Vũ,Grain Rain,30,2030-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2030-09,2030,9,Lập Hạ,Start of Summer,45,2030-05-05,Bắt đầu mùa hè,tinh-toan,
2030-10,2030,10,Tiểu Mãn,Grain Buds,60,2030-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2030-11,2030,11,Mang Chủng,Grain in Ear,75,2030-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2030-12,2030,12,Hạ Chí,Summer Solstice,90,2030-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2030-13,2030,13,Tiểu Thử,Minor Heat,105,2030-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2030-14,2030,14,Đại Thử,Major Heat,120,2030-07-23,Thời điểm nóng nhất trong năm,tinh-toan,
2030-15,2030,15,Lập Thu,Start of Autumn,135,2030-08-07,Bắt đầu mùa thu,tinh-toan,
2030-16,2030,16,Xử Thử,End of Heat,150,2030-08-23,Cái nóng lui dần,tinh-toan,
2030-17,2030,17,Bạch Lộ,White Dew,165,2030-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2030-18,2030,18,Thu Phân,Autumnal Equinox,180,2030-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2030-19,2030,19,Hàn Lộ,Cold Dew,195,2030-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2030-20,2030,20,Sương Giáng,Frost Descent,210,2030-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2030-21,2030,21,Lập Đông,Start of Winter,225,2030-11-07,Bắt đầu mùa đông,tinh-toan,
2030-22,2030,22,Tiểu Tuyết,Minor Snow,240,2030-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2030-23,2030,23,Đại Tuyết,Major Snow,255,2030-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2030-24,2030,24,Đông Chí,Winter Solstice,270,2030-12-22,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2031-01,2031,1,Tiểu Hàn,Minor Cold,285,2031-01-05,Bắt đầu rét đậm,tinh-toan,
2031-02,2031,2,Đại Hàn,Major Cold,300,2031-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2031-03,2031,3,Lập Xuân,Start of Spring,315,2031-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2031-04,2031,4,Vũ Thủy,Rain Water,330,2031-02-19,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2031-05,2031,5,Kinh Trập,Awakening of Insects,345,2031-03-06,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2031-06,2031,6,Xuân Phân,Vernal Equinox,0,2031-03-21,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2031-07,2031,7,Thanh Minh,Clear and Bright,15,2031-04-05,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2031-08,2031,8,Cốc Vũ,Grain Rain,30,2031-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2031-09,2031,9,Lập Hạ,Start of Summer,45,2031-05-05,Bắt đầu mùa hè,tinh-toan,
2031-10,2031,10,Tiểu Mãn,Grain Buds,60,2031-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2031-11,2031,11,Mang Chủng,Grain in Ear,75,2031-06-06,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2031-12,2031,12,Hạ Chí,Summer Solstice,90,2031-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2031-13,2031,13,Tiểu Thử,Minor Heat,105,2031-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2031-14,2031,14,Đại Thử,Major Heat,120,2031-07-23,Thời điểm nóng nhất trong năm,tinh-toan,
2031-15,2031,15,Lập Thu,Start of Autumn,135,2031-08-07,Bắt đầu mùa thu,tinh-toan,
2031-16,2031,16,Xử Thử,End of Heat,150,2031-08-23,Cái nóng lui dần,tinh-toan,
2031-17,2031,17,Bạch Lộ,White Dew,165,2031-09-08,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2031-18,2031,18,Thu Phân,Autumnal Equinox,180,2031-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2031-19,2031,19,Hàn Lộ,Cold Dew,195,2031-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2031-20,2031,20,Sương Giáng,Frost Descent,210,2031-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2031-21,2031,21,Lập Đông,Start of Winter,225,2031-11-07,Bắt đầu mùa đông,tinh-toan,
2031-22,2031,22,Tiểu Tuyết,Minor Snow,240,2031-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2031-23,2031,23,Đại Tuyết,Major Snow,255,2031-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2031-24,2031,24,Đông Chí,Winter Solstice,270,2031-12-22,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2032-01,2032,1,Tiểu Hàn,Minor Cold,285,2032-01-06,Bắt đầu rét đậm,tinh-toan,
2032-02,2032,2,Đại Hàn,Major Cold,300,2032-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2032-03,2032,3,Lập Xuân,Start of Spring,315,2032-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2032-04,2032,4,Vũ Thủy,Rain Water,330,2032-02-19,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2032-05,2032,5,Kinh Trập,Awakening of Insects,345,2032-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2032-06,2032,6,Xuân Phân,Vernal Equinox,0,2032-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2032-07,2032,7,Thanh Minh,Clear and Bright,15,2032-04-04,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2032-08,2032,8,Cốc Vũ,Grain Rain,30,2032-04-19,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2032-09,2032,9,Lập Hạ,Start of Summer,45,2032-05-05,Bắt đầu mùa hè,tinh-toan,
2032-10,2032,10,Tiểu Mãn,Grain Buds,60,2032-05-20,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2032-11,2032,11,Mang Chủng,Grain in Ear,75,2032-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2032-12,2032,12,Hạ Chí,Summer Solstice,90,2032-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2032-13,2032,13,Tiểu Thử,Minor Heat,105,2032-07-06,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2032-14,2032,14,Đại Thử,Major Heat,120,2032-07-22,Thời điểm nóng nhất trong năm,tinh-toan,
2032-15,2032,15,Lập Thu,Start of Autumn,135,2032-08-07,Bắt đầu mùa thu,tinh-toan,
2032-16,2032,16,Xử Thử,End of Heat,150,2032-08-22,Cái nóng lui dần,tinh-toan,
2032-17,2032,17,Bạch Lộ,White Dew,165,2032-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2032-18,2032,18,Thu Phân,Autumnal Equinox,180,2032-09-22,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2032-19,2032,19,Hàn Lộ,Cold Dew,195,2032-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2032-20,2032,20,Sương Giáng,Frost Descent,210,2032-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2032-21,2032,21,Lập Đông,Start of Winter,225,2032-11-07,Bắt đầu mùa đông,tinh-toan,
2032-22,2032,22,Tiểu Tuyết,Minor Snow,240,2032-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2032-23,2032,23,Đại Tuyết,Major Snow,255,2032-12-06,Tuyết rơi dày ở phương bắc,tinh-toan,
2032-24,2032,24,Đông Chí,Winter Solstice,270,2032-12-21,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2033-01,2033,1,Tiểu Hàn,Minor Cold,285,2033-01-05,Bắt đầu rét đậm,tinh-toan,
2033-02,2033,2,Đại Hàn,Major Cold,300,2033-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2033-03,2033,3,Lập Xuân,Start of Spring,315,2033-02-03,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2033-04,2033,4,Vũ Thủy,Rain Water,330,2033-02-18,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2033-05,2033,5,Kinh Trập,Awakening of Insects,345,2033-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2033-06,2033,6,Xuân Phân,Vernal Equinox,0,2033-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2033-07,2033,7,Thanh Minh,Clear and Bright,15,2033-04-04,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2033-08,2033,8,Cốc Vũ,Grain Rain,30,2033-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2033-09,2033,9,Lập Hạ,Start of Summer,45,2033-05-05,Bắt đầu mùa hè,tinh-toan,
2033-10,2033,10,Tiểu Mãn,Grain Buds,60,2033-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2033-11,2033,11,Mang Chủng,Grain in Ear,75,2033-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2033-12,2033,12,Hạ Chí,Summer Solstice,90,2033-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2033-13,2033,13,Tiểu Thử,Minor Heat,105,2033-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2033-14,2033,14,Đại Thử,Major Heat,120,2033-07-22,Thời điểm nóng nhất trong năm,tinh-toan,
2033-15,2033,15,Lập Thu,Start of Autumn,135,2033-08-07,Bắt đầu mùa thu,tinh-toan,
2033-16,2033,16,Xử Thử,End of Heat,150,2033-08-23,Cái nóng lui dần,tinh-toan,
2033-17,2033,17,Bạch Lộ,White Dew,165,2033-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2033-18,2033,18,Thu Phân,Autumnal Equinox,180,2033-09-22,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2033-19,2033,19,Hàn Lộ,Cold Dew,195,2033-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2033-20,2033,20,Sương Giáng,Frost Descent,210,2033-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2033-21,2033,21,Lập Đông,Start of Winter,225,2033-11-07,Bắt đầu mùa đông,tinh-toan,
2033-22,2033,22,Tiểu Tuyết,Minor Snow,240,2033-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2033-23,2033,23,Đại Tuyết,Major Snow,255,2033-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2033-24,2033,24,Đông Chí,Winter Solstice,270,2033-12-21,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2034-01,2034,1,Tiểu Hàn,Minor Cold,285,2034-01-05,Bắt đầu rét đậm,tinh-toan,
2034-02,2034,2,Đại Hàn,Major Cold,300,2034-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2034-03,2034,3,Lập Xuân,Start of Spring,315,2034-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2034-04,2034,4,Vũ Thủy,Rain Water,330,2034-02-18,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2034-05,2034,5,Kinh Trập,Awakening of Insects,345,2034-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2034-06,2034,6,Xuân Phân,Vernal Equinox,0,2034-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2034-07,2034,7,Thanh Minh,Clear and Bright,15,2034-04-04,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2034-08,2034,8,Cốc Vũ,Grain Rain,30,2034-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2034-09,2034,9,Lập Hạ,Start of Summer,45,2034-05-05,Bắt đầu mùa hè,tinh-toan,
2034-10,2034,10,Tiểu Mãn,Grain Buds,60,2034-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2034-11,2034,11,Mang Chủng,Grain in Ear,75,2034-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2034-12,2034,12,Hạ Chí,Summer Solstice,90,2034-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2034-13,2034,13,Tiểu Thử,Minor Heat,105,2034-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2034-14,2034,14,Đại Thử,Major Heat,120,2034-07-23,Thời điểm nóng nhất trong năm,tinh-toan,
2034-15,2034,15,Lập Thu,Start of Autumn,135,2034-08-07,Bắt đầu mùa thu,tinh-toan,
2034-16,2034,16,Xử Thử,End of Heat,150,2034-08-23,Cái nóng lui dần,tinh-toan,
2034-17,2034,17,Bạch Lộ,White Dew,165,2034-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2034-18,2034,18,Thu Phân,Autumnal Equinox,180,2034-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2034-19,2034,19,Hàn Lộ,Cold Dew,195,2034-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2034-20,2034,20,Sương Giáng,Frost Descent,210,2034-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2034-21,2034,21,Lập Đông,Start of Winter,225,2034-11-07,Bắt đầu mùa đông,tinh-toan,
2034-22,2034,22,Tiểu Tuyết,Minor Snow,240,2034-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2034-23,2034,23,Đại Tuyết,Major Snow,255,2034-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2034-24,2034,24,Đông Chí,Winter Solstice,270,2034-12-22,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2035-01,2035,1,Tiểu Hàn,Minor Cold,285,2035-01-05,Bắt đầu rét đậm,tinh-toan,
2035-02,2035,2,Đại Hàn,Major Cold,300,2035-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2035-03,2035,3,Lập Xuân,Start of Spring,315,2035-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2035-04,2035,4,Vũ Thủy,Rain Water,330,2035-02-19,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2035-05,2035,5,Kinh Trập,Awakening of Insects,345,2035-03-06,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2035-06,2035,6,Xuân Phân,Vernal Equinox,0,2035-03-21,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2035-07,2035,7,Thanh Minh,Clear and Bright,15,2035-04-05,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2035-08,2035,8,Cốc Vũ,Grain Rain,30,2035-04-20,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2035-09,2035,9,Lập Hạ,Start of Summer,45,2035-05-05,Bắt đầu mùa hè,tinh-toan,
2035-10,2035,10,Tiểu Mãn,Grain Buds,60,2035-05-21,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2035-11,2035,11,Mang Chủng,Grain in Ear,75,2035-06-06,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2035-12,2035,12,Hạ Chí,Summer Solstice,90,2035-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2035-13,2035,13,Tiểu Thử,Minor Heat,105,2035-07-07,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2035-14,2035,14,Đại Thử,Major Heat,120,2035-07-23,Thời điểm nóng nhất trong năm,tinh-toan,
2035-15,2035,15,Lập Thu,Start of Autumn,135,2035-08-07,Bắt đầu mùa thu,tinh-toan,
2035-16,2035,16,Xử Thử,End of Heat,150,2035-08-23,Cái nóng lui dần,tinh-toan,
2035-17,2035,17,Bạch Lộ,White Dew,165,2035-09-08,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2035-18,2035,18,Thu Phân,Autumnal Equinox,180,2035-09-23,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2035-19,2035,19,Hàn Lộ,Cold Dew,195,2035-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2035-20,2035,20,Sương Giáng,Frost Descent,210,2035-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2035-21,2035,21,Lập Đông,Start of Winter,225,2035-11-07,Bắt đầu mùa đông,tinh-toan,
2035-22,2035,22,Tiểu Tuyết,Minor Snow,240,2035-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2035-23,2035,23,Đại Tuyết,Major Snow,255,2035-12-07,Tuyết rơi dày ở phương bắc,tinh-toan,
2035-24,2035,24,Đông Chí,Winter Solstice,270,2035-12-22,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
