id,can_chi_ngay,chi_ngay,chi_gio,khung_gio,hoang_dao,nguon,ghi_chu
Nhâm Ngọ-Sửu,Nhâm Ngọ,Ngọ,Sửu,1h-3h,co,tinh-toan,
Nhâm Ngọ-Dần,Nhâm Ngọ,Ngọ,Dần,3h-5h,khong,tinh-toan,
Nhâm Ngọ-Mão,Nhâm Ngọ,Ngọ,Mão,5h-7h,co,tinh-toan,
Nhâm Ngọ-Thìn,Nhâm Ngọ,Ngọ,Thìn,7h-9h,khong,tinh-toan,
Nhâm Ngọ-Tỵ,Nhâm Ngọ,Ngọ,Tỵ,9h-11h,khong,tinh-toan,
Nhâm Ngọ-Ngọ,Nhâm Ngọ,Ngọ,Ngọ,11h-13h,co,tinh-toan,
Nhâm Ngọ-Mùi,Nhâm Ngọ,Ngọ,Mùi,13h-15h,khong,tinh-toan,
Nhâm Ngọ-Thân,Nhâm Ngọ,Ngọ,Thân,15h-17h,co,tinh-toan,
Nhâm Ngọ-Dậu,Nhâm Ngọ,Ngọ,Dậu,17h-19h,co,tinh-toan,
Nhâm Ngọ-Tuất,Nhâm Ngọ,Ngọ,Tuất,19h-21h,khong,tinh-toan,
Nhâm Ngọ-Hợi,Nhâm Ngọ,Ngọ,Hợi,21h-23h,khong,tinh-toan,
Quý Mùi-Tý,Quý Mùi,Mùi,Tý,23h-1h,khong,tinh-toan,
Quý Mùi-Sửu,Quý Mùi,Mùi,Sửu,1h-3h,khong,tinh-toan,
Quý Mùi-Dần,Quý Mùi,Mùi,Dần,3h-5h,co,tinh-toan,
Quý Mùi-Mão,Quý Mùi,Mùi,Mão,5h-7h,co,tinh-toan,
Quý Mùi-Thìn,Quý Mùi,Mùi,Thìn,7h-9h,khong,tinh-toan,
Quý Mùi-Tỵ,Quý Mùi,Mùi,Tỵ,9h-11h,co,tinh-toan,
Quý Mùi-Ngọ,Quý Mùi,Mùi,Ngọ,11h-13h,khong,tinh-toan,
Quý Mùi-Mùi,Quý Mùi,Mùi,Mùi,13h-15h,khong,tinh-toan,
Quý Mùi-Thân,Quý Mùi,Mùi,Thân,15h-17h,co,tinh-toan,
Quý Mùi-Dậu,Quý Mùi,Mùi,Dậu,17h-19h,khong,tinh-toan,
Quý Mùi-Tuất,Quý Mùi,Mùi,Tuất,19h-21h,co,tinh-toan,
Quý Mùi-Hợi,Quý Mùi,Mùi,Hợi,21h-23h,co,tinh-toan,
Giáp Thân-Tý,Giáp Thân,Thân,Tý,23h-1h,co,tinh-toan,
Giáp Thân-Sửu,Giáp Thân,Thân,Sửu,1h-3h,co,tinh-toan,
Giáp Thân-Dần,Giáp Thân,Thân,Dần,3h-5h,khong,tinh-toan,
Giáp Thân-Mão,Giáp Thân,Thân,Mão,5h-7h,khong,tinh-toan,
Giáp Thân-Thìn,Giáp Thân,Thân,Thìn,7h-9h,co,tinh-toan,
Giáp Thân-Tỵ,Giáp Thân,Thân,Tỵ,9h-11h,co,tinh-toan,
Giáp Thân-Ngọ,Giáp Thân,Thân,Ngọ,11h-13h,khong,tinh-toan,
Giáp Thân-Mùi,Giáp Thân,Thân,Mùi,13h-15h,co,tinh-toan,
Giáp Thân-Thân,Giáp Thân,Thân,Thân,15h-17h,khong,tinh-toan,
Giáp Thân-Dậu,Giáp Thân,Thân,Dậu,17h-19h,khong,tinh-toan,
Giáp Thân-Tuất,Giáp Thân,Thân,Tuất,19h-21h,co,tinh-toan,
Giáp Thân-Hợi,Giáp Thân,Thân,Hợi,21h-23h,khong,tinh-toan,
Ất Dậu-Tý,Ất Dậu,Dậu,Tý,23h-1h,co,tinh-toan,
Ất Dậu-Sửu,Ất Dậu,Dậu,Sửu,1h-3h,khong,tinh-toan,
Ất Dậu-Dần,Ất Dậu,Dậu,Dần,3h-5h,co,tinh-toan,
Ất Dậu-Mão,Ất Dậu,Dậu,Mão,5h-7h,co,tinh-toan,
Ất Dậu-Thìn,Ất Dậu,Dậu,Thìn,7h-9h,khong,tinh-toan,
Ất Dậu-Tỵ,Ất Dậu,Dậu,Tỵ,9h-11h,khong,tinh-toan,
Ất Dậu-Ngọ,Ất Dậu,Dậu,Ngọ,11h-13h,co,tinh-toan,
Ất Dậu-Mùi,Ất Dậu,Dậu,Mùi,13h-15h,co,tinh-toan,
Ất Dậu-Thân,Ất Dậu,Dậu,Thân,15h-17h,khong,tinh-toan,
Ất Dậu-Dậu,Ất Dậu,Dậu,Dậu,17h-19h,co,tinh-toan,
Ất Dậu-Tuất,Ất Dậu,Dậu,Tuất,19h-21h,khong,tinh-toan,
Ất Dậu-Hợi,Ất Dậu,Dậu,Hợi,21h-23h,khong,tinh-toan,
Bính Tuất-Tý,Bính Tuất,Tuất,Tý,23h-1h,khong,tinh-toan,
Bính Tuất-Sửu,Bính Tuất,Tuất,Sửu,1h-3h,khong,tinh-toan,
Bính Tuất-Dần,Bính Tuất,Tuất,Dần,3h-5h,co,tinh-toan,
Bính Tuất-Mão,Bính Tuất,Tuất,Mão,5h-7h,khong,tinh-toan,
Bính Tuất-Thìn,Bính Tuất,Tuất,Thìn,7h-9h,co,tinh-toan,
Bính Tuất-Tỵ,Bính Tuất,Tuất,Tỵ,9h-11h,co,tinh-toan,
Bính Tuất-Ngọ,Bính Tuất,Tuất,Ngọ,11h-13h,khong,tinh-toan,
Bính Tuất-Mùi,Bính Tuất,Tuất,Mùi,13h-15h,khong,tinh-toan,
Bính Tuất-Thân,Bính Tuất,Tuất,Thân,15h-17h,co,tinh-toan,
Bính Tuất-Dậu,Bính Tuất,Tuất,Dậu,17h-19h,co,tinh-toan,
Bính Tuất-Tuất,Bính Tuất,Tuất,Tuất,19h-21h,khong,tinh-toan,
Bính Tuất-Hợi,Bính Tuất,Tuất,Hợi,21h-23h,co,tinh-toan,
Đinh Hợi-Tý,Đinh Hợi,Hợi,Tý,23h-1h,khong,tinh-toan,
Đinh Hợi-Sửu,Đinh Hợi,Hợi,Sửu,1h-3h,co,tinh-toan,
Đinh Hợi-Dần,Đinh Hợi,Hợi,Dần,3h-5h,khong,tinh-toan,
Đinh Hợi-Mão,Đinh Hợi,Hợi,Mão,5h-7h,khong,tinh-toan,
Đinh Hợi-Thìn,Đinh Hợi,Hợi,Thìn,7h-9h,co,tinh-toan,
Đinh Hợi-Tỵ,Đinh Hợi,Hợi,Tỵ,9h-11h,khong,tinh-toan,
Đinh Hợi-Ngọ,Đinh Hợi,Hợi,Ngọ,11h-13h,co,tinh-toan,
Đinh Hợi-Mùi,Đinh Hợi,Hợi,Mùi,13h-15h,co,tinh-toan,
Đinh Hợi-Thân,Đinh Hợi,Hợi,Thân,15h-17h,khong,tinh-toan,
Đinh Hợi-Dậu,Đinh Hợi,Hợi,Dậu,17h-19h,khong,tinh-toan,
Đinh Hợi-Tuất,Đinh Hợi,Hợi,Tuất,19h-21h,co,tinh-toan,
Đinh Hợi-Hợi,Đinh Hợi,Hợi,Hợi,21h-23h,co,tinh-toan,
Mậu Tý-Tý,Mậu Tý,Tý,Tý,23h-1h,co,tinh-toan,
Mậu Tý-Sửu,Mậu Tý,Tý,Sửu,1h-3h,co,tinh-toan,
Mậu Tý-Dần,Mậu Tý,Tý,Dần,3h-5h,khong,tinh-toan,
Mậu Tý-Mão,Mậu Tý,Tý,Mão,5h-7h,co,tinh-toan,
Mậu Tý-Thìn,Mậu Tý,Tý,Thìn,7h-9h,khong,tinh-toan,
Mậu Tý-Tỵ,Mậu Tý,Tý,Tỵ,9h-11h,khong,tinh-toan,
Mậu Tý-Ngọ,Mậu Tý,Tý,Ngọ,11h-13h,co,tinh-toan,
Mậu Tý-Mùi,Mậu Tý,Tý,Mùi,13h-15h,khong,tinh-toan,
Mậu Tý-Thân,Mậu Tý,Tý,Thân,15h-17h,co,tinh-toan,
Mậu Tý-Dậu,Mậu Tý,Tý,Dậu,17h-19h,co,tinh-toan,
Mậu Tý-Tuất,Mậu Tý,Tý,Tuất,19h-21h,khong,tinh-toan,
Mậu Tý-Hợi,Mậu Tý,Tý,Hợi,21h-23h,khong,tinh-toan,
Kỷ Sửu-Tý,Kỷ Sửu,Sửu,Tý,23h-1h,khong,tinh-toan,
Kỷ Sửu-Sửu,Kỷ Sửu,Sửu,Sửu,1h-3h,khong,tinh-toan,
Kỷ Sửu-Dần,Kỷ Sửu,Sửu,Dần,3h-5h,co,tinh-toan,
Kỷ Sửu-Mão,Kỷ Sửu,Sửu,Mão,5h-7h,co,tinh-toan,
Kỷ Sửu-Thìn,Kỷ Sửu,Sửu,Thìn,7h-9h,khong,tinh-toan,
Kỷ Sửu-Tỵ,Kỷ Sửu,Sửu,Tỵ,9h-11h,co,tinh-toan,
Kỷ Sửu-Ngọ,Kỷ Sửu,Sửu,Ngọ,11h-13h,khong,tinh-toan,
Kỷ Sửu-Mùi,Kỷ Sửu,Sửu,Mùi,13h-15h,khong,tinh-toan,
Kỷ Sửu-Thân,Kỷ Sửu,Sửu,Thân,15h-17h,co,tinh-toan,
Kỷ Sửu-Dậu,Kỷ Sửu,Sửu,Dậu,17h-19h,khong,tinh-toan,
Kỷ Sửu-Tuất,Kỷ Sửu,Sửu,Tuất,19h-21h,co,tinh-toan,
Kỷ Sửu-Hợi,Kỷ Sửu,Sửu,Hợi,21h-23h,co,tinh-toan,
Canh Dần-Tý,Canh Dần,Dần,Tý,23h-1h,co,tinh-toan,
Canh Dần-Sửu,Canh Dần,Dần,Sửu,1h-3h,co,tinh-toan,
Canh Dần-Dần,Canh Dần,Dần,Dần,3h-5h,khong,tinh-toan,
Canh Dần-Mão,Canh Dần,Dần,Mão,5h-7h,khong,tinh-toan,
Canh Dần-Thìn,Canh Dần,Dần,Thìn,7h-9h,co,tinh-toan,
Canh Dần-Tỵ,Canh Dần,Dần,Tỵ,9h-11h,co,tinh-toan,
Canh Dần-Ngọ,Canh Dần,Dần,Ngọ,11h-13h,khong,tinh-toan,
Canh Dần-Mùi,Canh Dần,Dần,Mùi,13h-15h,co,tinh-toan,
Canh Dần-Thân,Canh Dần,Dần,Thân,15h-17h,khong,tinh-toan,
Canh Dần-Dậu,Canh Dần,Dần,Dậu,17h-19h,khong,tinh-toan,
Canh Dần-Tuất,Canh Dần,Dần,Tuất,19h-21h,co,tinh-toan,
Canh Dần-Hợi,Canh Dần,Dần,Hợi,21h-23h,khong,tinh-toan,
Tân Mão-Tý,Tân Mão,Mão,Tý,23h-1h,co,tinh-toan,
Tân Mão-Sửu,Tân Mão,Mão,Sửu,1h-3h,khong,tinh-toan,
Tân Mão-Dần,Tân Mão,Mão,Dần,3h-5h,co,tinh-toan,
Tân Mão-Mão,Tân Mão,Mão,Mão,5h-7h,co,tinh-toan,
Tân Mão-Thìn,Tân Mão,Mão,Thìn,7h-9h,khong,tinh-toan,
Tân Mão-Tỵ,Tân Mão,Mão,Tỵ,9h-11h,khong,tinh-toan,
Tân Mão-Ngọ,Tân Mão,Mão,Ngọ,11h-13h,co,tinh-toan,
Tân Mão-Mùi,Tân Mão,Mão,Mùi,13h-15h,co,tinh-toan,
Tân Mão-Thân,Tân Mão,Mão,Thân,15h-17h,khong,tinh-toan,
Tân Mão-Dậu,Tân Mão,Mão,Dậu,17h-19h,co,tinh-toan,
Tân Mão-Tuất,Tân Mão,Mão,Tuất,19h-21h,khong,tinh-toan,
Tân Mão-Hợi,Tân Mão,Mão,Hợi,21h-23h,khong,tinh-toan,
Nhâm Thìn-Tý,Nhâm Thìn,Thìn,Tý,23h-1h,khong,tinh-toan,
Nhâm Thìn-Sửu,Nhâm Thìn,Thìn,Sửu,1h-3h,khong,tinh-toan,
Nhâm Thìn-Dần,Nhâm Thìn,Thìn,Dần,3h-5h,co,tinh-toan,
Nhâm Thìn-Mão,Nhâm Thìn,Thìn,Mão,5h-7h,khong,tinh-toan,
Nhâm Thìn-Thìn,Nhâm Thìn,Thìn,Thìn,7h-9h,co,tinh-toan,
Nhâm Thìn-Tỵ,Nhâm Thìn,Thìn,Tỵ,9h-11h,co,tinh-toan,
Nhâm Thìn-Ngọ,Nhâm Thìn,Thìn,Ngọ,11h-13h,khong,tinh-toan,
Nhâm Thìn-Mùi,Nhâm Thìn,Thìn,Mùi,13h-15h,khong,tinh-toan,
Nhâm Thìn-Thân,Nhâm Thìn,Thìn,Thân,15h-17h,co,tinh-toan,
Nhâm Thìn-Dậu,Nhâm Thìn,Thìn,Dậu,17h-19h,co,tinh-toan,
Nhâm Thìn-Tuất,Nhâm Thìn,Thìn,Tuất,19h-21h,khong,tinh-toan,
Nhâm Thìn-Hợi,Nhâm Thìn,Thìn,Hợi,21h-23h,co,tinh-toan,
Quý Tỵ-Tý,Quý Tỵ,Tỵ,Tý,23h-1h,khong,tinh-toan,
Quý Tỵ-Sửu,Quý Tỵ,Tỵ,Sửu,1h-3h,co,tinh-toan,
Quý Tỵ-Dần,Quý Tỵ,Tỵ,Dần,3h-5h,khong,tinh-toan,
Quý Tỵ-Mão,Quý Tỵ,Tỵ,Mão,5h-7h,khong,tinh-toan,
Quý Tỵ-Thìn,Quý Tỵ,Tỵ,Thìn,7h-9h,co,tinh-toan,
Quý Tỵ-Tỵ,Quý Tỵ,Tỵ,Tỵ,9h-11h,khong,tinh-toan,
Quý Tỵ-Ngọ,Quý Tỵ,Tỵ,Ngọ,11h-13h,co,tinh-toan,
Quý Tỵ-Mùi,Quý Tỵ,Tỵ,Mùi,13h-15h,co,tinh-toan,
Quý Tỵ-Thân,Quý Tỵ,Tỵ,Thân,15h-17h,khong,tinh-toan,
Quý Tỵ-Dậu,Quý Tỵ,Tỵ,Dậu,17h-19h,khong,tinh-toan,
Quý Tỵ-Tuất,Quý Tỵ,Tỵ,Tuất,19h-21h,co,tinh-toan,
Quý Tỵ-Hợi,Quý Tỵ,Tỵ,Hợi,21h-23h,co,tinh-toan,
Giáp Ngọ-Tý,Giáp Ngọ,Ngọ,Tý,23h-1h,co,tinh-toan,
Giáp Ngọ-Sửu,Giáp Ngọ,Ngọ,Sửu,1h-3h,co,tinh-toan,
Giáp Ngọ-Dần,Giáp Ngọ,Ngọ,Dần,3h-5h,khong,tinh-toan,
Giáp Ngọ-Mão,Giáp Ngọ,Ngọ,Mão,5h-7h,co,tinh-toan,
Giáp Ngọ-Thìn,Giáp Ngọ,Ngọ,Thìn,7h-9h,khong,tinh-toan,
Giáp Ngọ-Tỵ,Giáp Ngọ,Ngọ,Tỵ,9h-11h,khong,tinh-toan,
Giáp Ngọ-Ngọ,Giáp Ngọ,Ngọ,Ngọ,11h-13h,co,tinh-toan,
Giáp Ngọ-Mùi,Giáp Ngọ,Ngọ,Mùi,13h-15h,khong,tinh-toan,
Giáp Ngọ-Thân,Giáp Ngọ,Ngọ,Thân,15h-17h,co,tinh-toan,
Giáp Ngọ-Dậu,Giáp Ngọ,Ngọ,Dậu,17h-19h,co,tinh-toan,
Giáp Ngọ-Tuất,Giáp Ngọ,Ngọ,Tuất,19h-21h,khong,tinh-toan,
Giáp Ngọ-Hợi,Giáp Ngọ,Ngọ,Hợi,21h-23h,khong,tinh-toan,
Ất Mùi-Tý,Ất Mùi,Mùi,Tý,23h-1h,khong,tinh-toan,
Ất Mùi-Sửu,Ất Mùi,Mùi,Sửu,1h-3h,khong,tinh-toan,
Ất Mùi-Dần,Ất Mùi,Mùi,Dần,3h-5h,co,tinh-toan,
Ất Mùi-Mão,Ất Mùi,Mùi,Mão,5h-7h,co,tinh-toan,
Ất Mùi-Thìn,Ất Mùi,Mùi,Thìn,7h-9h,khong,tinh-toan,
Ất Mùi-Tỵ,Ất Mùi,Mùi,Tỵ,9h-11h,co,tinh-toan,
Ất Mùi-Ngọ,Ất Mùi,Mùi,Ngọ,11h-13h,khong,tinh-toan,
Ất Mùi-Mùi,Ất Mùi,Mùi,Mùi,13h-15h,khong,tinh-toan,
Ất Mùi-Thân,Ất Mùi,Mùi,Thân,15h-17h,co,tinh-toan,
Ất Mùi-Dậu,Ất Mùi,Mùi,Dậu,17h-19h,khong,tinh-toan,
Ất Mùi-Tuất,Ất Mùi,Mùi,Tuất,19h-21h,co,tinh-toan,
Ất Mùi-Hợi,Ất Mùi,Mùi,Hợi,21h-23h,co,tinh-toan,
Bính Thân-Tý,Bính Thân,Thân,Tý,23h-1h,co,tinh-toan,
Bính Thân-Sửu,Bính Thân,Thân,Sửu,1h-3h,co,tinh-toan,
Bính Thân-Dần,Bính Thân,Thân,Dần,3h-5h,khong,tinh-toan,
Bính Thân-Mão,Bính Thân,Thân,Mão,5h-7h,khong,tinh-toan,
Bính Thân-Thìn,Bính Thân,Thân,Thìn,7h-9h,co,tinh-toan,
Bính Thân-Tỵ,Bính Thân,Thân,Tỵ,9h-11h,co,tinh-toan,
Bính Thân-Ngọ,Bính Thân,Thân,Ngọ,11h-13h,khong,tinh-toan,
Bính Thân-Mùi,Bính Thân,Thân,Mùi,13h-15h,co,tinh-toan,
Bính Thân-Thân,Bính Thân,Thân,Thân,15h-17h,khong,tinh-toan,
Bính Thân-Dậu,Bính Thân,Thân,Dậu,17h-19h,khong,tinh-toan,
Bính Thân-Tuất,Bính Thân,Thân,Tuất,19h-21h,co,tinh-toan,
Bính Thân-Hợi,Bính Thân,Thân,Hợi,21h-23h,khong,tinh-toan,
Đinh Dậu-Tý,Đinh Dậu,Dậu,Tý,23h-1h,co,tinh-toan,
Đinh Dậu-Sửu,Đinh Dậu,Dậu,Sửu,1h-3h,khong,tinh-toan,
Đinh Dậu-Dần,Đinh Dậu,Dậu,Dần,3h-5h,co,tinh-toan,
Đinh Dậu-Mão,Đinh Dậu,Dậu,Mão,5h-7h,co,tinh-toan,
Đinh Dậu-Thìn,Đinh Dậu,Dậu,Thìn,7h-9h,khong,tinh-toan,
Đinh Dậu-Tỵ,Đinh Dậu,Dậu,Tỵ,9h-11h,khong,tinh-toan,
Đinh Dậu-Ngọ,Đinh Dậu,Dậu,Ngọ,11h-13h,co,tinh-toan,
Đinh Dậu-Mùi,Đinh Dậu,Dậu,Mùi,13h-15h,co,tinh-toan,
Đinh Dậu-Thân,Đinh Dậu,Dậu,Thân,15h-17h,khong,tinh-toan,
Đinh Dậu-Dậu,Đinh Dậu,Dậu,Dậu,17h-19h,co,tinh-toan,
Đinh Dậu-Tuất,Đinh Dậu,Dậu,Tuất,19h-21h,khong,tinh-toan,
Đinh Dậu-Hợi,Đinh Dậu,Dậu,Hợi,21h-23h,khong,tinh-toan,
Mậu Tuất-Tý,Mậu Tuất,Tuất,Tý,23h-1h,khong,tinh-toan,
Mậu Tuất-Sửu,Mậu Tuất,Tuất,Sửu,1h-3h,khong,tinh-toan,
Mậu Tuất-Dần,Mậu Tuất,Tuất,Dần,3h-5h,co,tinh-toan,
Mậu Tuất-Mão,Mậu Tuất,Tuất,Mão,5h-7h,khong,tinh-toan,
Mậu Tuất-Thìn,Mậu Tuất,Tuất,Thìn,7h-9h,co,tinh-toan,
Mậu Tuất-Tỵ,Mậu Tuất,Tuất,Tỵ,9h-11h,co,tinh-toan,
Mậu Tuất-Ngọ,Mậu Tuất,Tuất,Ngọ,11h-13h,khong,tinh-toan,
Mậu Tuất-Mùi,Mậu Tuất,Tuất,Mùi,13h-15h,khong,tinh-toan,
Mậu Tuất-Thân,Mậu Tuất,Tuất,Thân,15h-17h,co,tinh-toan,
Mậu Tuất-Dậu,Mậu Tuất,Tuất,Dậu,17h-19h,co,tinh-toan,
Mậu Tuất-Tuất,Mậu Tuất,Tuất,Tuất,19h-21h,khong,tinh-toan,
Mậu Tuất-Hợi,Mậu Tuất,Tuất,Hợi,21h-23h,co,tinh-toan,
Kỷ Hợi-Tý,Kỷ Hợi,Hợi,Tý,23h-1h,khong,tinh-toan,
Kỷ Hợi-Sửu,Kỷ Hợi,Hợi,Sửu,1h-3h,co,tinh-toan,
Kỷ Hợi-Dần,Kỷ Hợi,Hợi,Dần,3h-5h,khong,tinh-toan,
Kỷ Hợi-Mão,Kỷ Hợi,Hợi,Mão,5h-7h,khong,tinh-toan,
Kỷ Hợi-Thìn,Kỷ Hợi,Hợi,Thìn,7h-9h,co,tinh-toan,
Kỷ Hợi-Tỵ,Kỷ Hợi,Hợi,Tỵ,9h-11h,khong,tinh-toan,
Kỷ Hợi-Ngọ,Kỷ Hợi,Hợi,Ngọ,11h-13h,co,tinh-toan,
Kỷ Hợi-Mùi,Kỷ Hợi,Hợi,Mùi,13h-15h,co,tinh-toan,
Kỷ Hợi-Thân,Kỷ Hợi,Hợi,Thân,15h-17h,khong,tinh-toan,
Kỷ Hợi-Dậu,Kỷ Hợi,Hợi,Dậu,17h-19h,khong,tinh-toan,
Kỷ Hợi-Tuất,Kỷ Hợi,Hợi,Tuất,19h-21h,co,tinh-toan,
Kỷ Hợi-Hợi,Kỷ Hợi,Hợi,Hợi,21h-23h,co,tinh-toan,
Canh Tý-Tý,Canh Tý,Tý,Tý,23h-1h,co,tinh-toan,
Canh Tý-Sửu,Canh Tý,Tý,Sửu,1h-3h,co,tinh-toan,
Canh Tý-Dần,Canh Tý,Tý,Dần,3h-5h,khong,tinh-toan,
Canh Tý-Mão,Canh Tý,Tý,Mão,5h-7h,co,tinh-toan,
Canh Tý-Thìn,Canh Tý,Tý,Thìn,7h-9h,khong,tinh-toan,
Canh Tý-Tỵ,Canh Tý,Tý,Tỵ,9h-11h,khong,tinh-toan,
Canh Tý-Ngọ,Canh Tý,Tý,Ngọ,11h-13h,co,tinh-toan,
Canh Tý-Mùi,Canh Tý,Tý,Mùi,13h-15h,khong,tinh-toan,
Canh Tý-Thân,Canh Tý,Tý,Thân,15h-17h,co,tinh-toan,
Canh Tý-Dậu,Canh Tý,Tý,Dậu,17h-19h,co,tinh-toan,
Canh Tý-Tuất,Canh Tý,Tý,Tuất,19h-21h,khong,tinh-toan,
Canh Tý-Hợi,Canh Tý,Tý,Hợi,21h-23h,khong,tinh-toan,
Tân Sửu-Tý,Tân Sửu,Sửu,Tý,23h-1h,khong,tinh-toan,
Tân Sửu-Sửu,Tân Sửu,Sửu,Sửu,1h-3h,khong,tinh-toan,
Tân Sửu-Dần,Tân Sửu,Sửu,Dần,3h-5h,co,tinh-toan,
Tân Sửu-Mão,Tân Sửu,Sửu,Mão,5h-7h,co,tinh-toan,
Tân Sửu-Thìn,Tân Sửu,Sửu,Thìn,7h-9h,khong,tinh-toan,
Tân Sửu-Tỵ,Tân Sửu,Sửu,Tỵ,9h-11h,co,tinh-toan,
Tân Sửu-Ngọ,Tân Sửu,Sửu,Ngọ,11h-13h,khong,tinh-toan,
Tân Sửu-Mùi,Tân Sửu,Sửu,Mùi,13h-15h,khong,tinh-toan,
Tân Sửu-Thân,Tân Sửu,Sửu,Thân,15h-17h,co,tinh-toan,
Tân Sửu-Dậu,Tân Sửu,Sửu,Dậu,17h-19h,khong,tinh-toan,
Tân Sửu-Tuất,Tân Sửu,Sửu,Tuất,19h-21h,co,tinh-toan,
Tân Sửu-Hợi,Tân Sửu,Sửu,Hợi,21h-23h,co,tinh-toan,
Nhâm Dần-Tý,Nhâm Dần,Dần,Tý,23h-1h,co,tinh-toan,
Nhâm Dần-Sửu,Nhâm Dần,Dần,Sửu,1h-3h,co,tinh-toan,
Nhâm Dần-Dần,Nhâm Dần,Dần,Dần,3h-5h,khong,tinh-toan,
Nhâm Dần-Mão,Nhâm Dần,Dần,Mão,5h-7h,khong,tinh-toan,
Nhâm Dần-Thìn,Nhâm Dần,Dần,Thìn,7h-9h,co,tinh-toan,
Nhâm Dần-Tỵ,Nhâm Dần,Dần,Tỵ,9h-11h,co,tinh-toan,
Nhâm Dần-Ngọ,Nhâm Dần,Dần,Ngọ,11h-13h,khong,tinh-toan,
Nhâm Dần-Mùi,Nhâm Dần,Dần,Mùi,13h-15h,co,tinh-toan,
Nhâm Dần-Thân,Nhâm Dần,Dần,Thân,15h-17h,khong,tinh-toan,
Nhâm Dần-Dậu,Nhâm Dần,Dần,Dậu,17h-19h,khong,tinh-toan,
Nhâm Dần-Tuất,Nhâm Dần,Dần,Tuất,19h-21h,co,tinh-toan,
Nhâm Dần-Hợi,Nhâm Dần,Dần,Hợi,21h-23h,khong,tinh-toan,
Quý Mão-Tý,Quý Mão,Mão,Tý,23h-1h,co,tinh-toan,
Quý Mão-Sửu,Quý Mão,Mão,Sửu,1h-3h,khong,tinh-toan,
Quý Mão-Dần,Quý Mão,Mão,Dần,3h-5h,co,tinh-toan,
Quý Mão-Mão,Quý Mão,Mão,Mão,5h-7h,co,tinh-toan,
Quý Mão-Thìn,Quý Mão,Mão,Thìn,7h-9h,khong,tinh-toan,
Quý Mão-Tỵ,Quý Mão,Mão,Tỵ,9h-11h,khong,tinh-toan,
Quý Mão-Ngọ,Quý Mão,Mão,Ngọ,11h-13h,co,tinh-toan,
Quý Mão-Mùi,Quý Mão,Mão,Mùi,13h-15h,co,tinh-toan,
Quý Mão-Thân,Quý Mão,Mão,Thân,15h-17h,khong,tinh-toan,
Quý Mão-Dậu,Quý Mão,Mão,Dậu,17h-19h,co,tinh-toan,
Quý Mão-Tuất,Quý Mão,Mão,Tuất,19h-21h,khong,tinh-toan,
Quý Mão-Hợi,Quý Mão,Mão,Hợi,21h-23h,khong,tinh-toan,
Giáp Thìn-Tý,Giáp Thìn,Thìn,Tý,23h-1h,khong,tinh-toan,
Giáp Thìn-Sửu,Giáp Thìn,Thìn,Sửu,1h-3h,khong,tinh-toan,
Giáp Thìn-Dần,Giáp Thìn,Thìn,Dần,3h-5h,co,tinh-toan,
Giáp Thìn-Mão,Giáp Thìn,Thìn,Mão,5h-7h,khong,tinh-toan,
Giáp Thìn-Thìn,Giáp Thìn,Thìn,Thìn,7h-9h,co,tinh-toan,
Giáp Thìn-Tỵ,Giáp Thìn,Thìn,Tỵ,9h-11h,co,tinh-toan,
Giáp Thìn-Ngọ,Giáp Thìn,Thìn,Ngọ,11h-13h,khong,tinh-toan,
Giáp Thìn-Mùi,Giáp Thìn,Thìn,Mùi,13h-15h,khong,tinh-toan,
Giáp Thìn-Thân,Giáp Thìn,Thìn,Thân,15h-17h,co,tinh-toan,
Giáp Thìn-Dậu,Giáp Thìn,Thìn,Dậu,17h-19h,co,tinh-toan,
Giáp Thìn-Tuất,Giáp Thìn,Thìn,Tuất,19h-21h,khong,tinh-toan,
Giáp Thìn-Hợi,Giáp Thìn,Thìn,Hợi,21h-23h,co,tinh-toan,
Ất Tỵ-Tý,Ất Tỵ,Tỵ,Tý,23h-1h,khong,tinh-toan,
Ất Tỵ-Sửu,Ất Tỵ,Tỵ,Sửu,1h-3h,co,tinh-toan,
Ất Tỵ-Dần,Ất Tỵ,Tỵ,Dần,3h-5h,khong,tinh-toan,
Ất Tỵ-Mão,Ất Tỵ,Tỵ,Mão,5h-7h,khong,tinh-toan,
Ất Tỵ-Thìn,Ất Tỵ,Tỵ,Thìn,7h-9h,co,tinh-toan,
Ất Tỵ-Tỵ,Ất Tỵ,Tỵ,Tỵ,9h-11h,khong,tinh-toan,
Ất Tỵ-Ngọ,Ất Tỵ,Tỵ,Ngọ,11h-13h,co,tinh-toan,
Ất Tỵ-Mùi,Ất Tỵ,Tỵ,Mùi,13h-15h,co,tinh-toan,
Ất Tỵ-Thân,Ất Tỵ,Tỵ,Thân,15h-17h,khong,tinh-toan,
Ất Tỵ-Dậu,Ất Tỵ,Tỵ,Dậu,17h-19h,khong,tinh-toan,
Ất Tỵ-Tuất,Ất Tỵ,Tỵ,Tuất,19h-21h,co,tinh-toan,
Ất Tỵ-Hợi,Ất Tỵ,Tỵ,Hợi,21h-23h,co,tinh-toan,
Bính Ngọ-Tý,Bính Ngọ,Ngọ,Tý,23h-1h,co,tinh-toan,
Bính Ngọ-Sửu,Bính Ngọ,Ngọ,Sửu,1h-3h,co,tinh-toan,
Bính Ngọ-Dần,Bính Ngọ,Ngọ,Dần,3h-5h,khong,tinh-toan,
