id,nam,ten,ten_en,kinh_do,ngay_bat_dau,gio,phut,sat_nua_dem,nguon,ghi_chu
1941-20,1941,Đại Hàn,Major Cold,300,1941-01-20,17,22,khong,tinh-toan,
1941-21,1941,Lập Xuân,Start of Spring,315,1941-02-04,11,43,khong,tinh-toan,
1941-22,1941,Vũ Thủy,Rain Water,330,1941-02-19,7,44,khong,tinh-toan,
1941-23,1941,Kinh Trập,Awakening of Insects,345,1941-03-06,6,2,khong,tinh-toan,
1941-00,1941,Xuân Phân,Vernal Equinox,0,1941-03-21,7,6,khong,tinh-toan,
1941-01,1941,Thanh Minh,Clear and Bright,15,1941-04-05,11,15,khong,tinh-toan,
1941-02,1941,Cốc Vũ,Grain Rain,30,1941-04-20,18,35,khong,tinh-toan,
1941-03,1941,Lập Hạ,Start of Summer,45,1941-05-06,4,59,khong,tinh-toan,
1941-04,1941,Tiểu Mãn,Grain Buds,60,1941-05-21,18,8,khong,tinh-toan,
1941-05,1941,Mang Chủng,Grain in Ear,75,1941-06-06,9,29,khong,tinh-toan,
1941-06,1941,Hạ Chí,Summer Solstice,90,1941-06-22,2,20,khong,tinh-toan,
1941-07,1941,Tiểu Thử,Minor Heat,105,1941-07-07,19,53,khong,tinh-toan,
1941-08,1941,Đại Thử,Major Heat,120,1941-07-23,13,15,khong,tinh-toan,
1941-09,1941,Lập Thu,Start of Autumn,135,1941-08-08,5,35,khong,tinh-toan,
1941-10,1941,Xử Thử,End of Heat,150,1941-08-23,20,6,khong,tinh-toan,
1941-11,1941,Bạch Lộ,White Dew,165,1941-09-08,8,11,khong,tinh-toan,
1941-12,1941,Thu Phân,Autumnal Equinox,180,1941-09-23,17,21,khong,tinh-toan,
1941-13,1941,Hàn Lộ,Cold Dew,195,1941-10-08,23,23,khong,tinh-toan,
1941-14,1941,Sương Giáng,Frost Descent,210,1941-10-24,2,16,khong,tinh-toan,
1941-15,1941,Lập Đông,Start of Winter,225,1941-11-08,2,9,khong,tinh-toan,
1941-16,1941,Tiểu Tuyết,Minor Snow,240,1941-11-22,23,27,khong,tinh-toan,
1941-17,1941,Đại Tuyết,Major Snow,255,1941-12-07,18,41,khong,tinh-toan,
1941-18,1941,Đông Chí,Winter Solstice,270,1941-12-22,12,34,khong,tinh-toan,
1942-19,1942,Tiểu Hàn,Minor Cold,285,1942-01-06,5,48,khong,tinh-toan,
1942-20,1942,Đại Hàn,Major Cold,300,1942-01-20,23,12,khong,tinh-toan,
1942-21,1942,Lập Xuân,Start of Spring,315,1942-02-04,17,33,khong,tinh-toan,
1942-22,1942,Vũ Thủy,Rain Water,330,1942-02-19,13,33,khong,tinh-toan,
1942-23,1942,Kinh Trập,Awakening of Insects,345,1942-03-06,11,51,khong,tinh-toan,
1942-00,1942,Xuân Phân,Vernal Equinox,0,1942-03-21,12,55,khong,tinh-toan,
1942-01,1942,Thanh Minh,Clear and Bright,15,1942-04-05,17,4,khong,tinh-toan,
1942-02,1942,Cốc Vũ,Grain Rain,30,1942-04-21,0,23,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1942-03,1942,Lập Hạ,Start of Summer,45,1942-05-06,10,47,khong,tinh-toan,
1942-04,1942,Tiểu Mãn,Grain Buds,60,1942-05-21,23,56,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1942-05,1942,Mang Chủng,Grain in Ear,75,1942-06-06,15,17,khong,tinh-toan,
1942-06,1942,Hạ Chí,Summer Solstice,90,1942-06-22,8,8,khong,tinh-toan,
1942-07,1942,Tiểu Thử,Minor Heat,105,1942-07-08,1,41,khong,tinh-toan,
1942-08,1942,Đại Thử,Major Heat,120,1942-07-23,19,3,khong,tinh-toan,
1942-09,1942,Lập Thu,Start of Autumn,135,1942-08-08,11,23,khong,tinh-toan,
1942-10,1942,Xử Thử,End of Heat,150,1942-08-24,1,55,khong,tinh-toan,
1942-11,1942,Bạch Lộ,White Dew,165,1942-09-08,13,59,khong,tinh-toan,
1942-12,1942,Thu Phân,Autumnal Equinox,180,1942-09-23,23,10,khong,tinh-toan,
1942-13,1942,Hàn Lộ,Cold Dew,195,1942-10-09,5,13,khong,tinh-toan,
1942-14,1942,Sương Giáng,Frost Descent,210,1942-10-24,8,5,khong,tinh-toan,
1942-15,1942,Lập Đông,Start of Winter,225,1942-11-08,7,58,khong,tinh-toan,
1942-16,1942,Tiểu Tuyết,Minor Snow,240,1942-11-23,5,16,khong,tinh-toan,
1942-17,1942,Đại Tuyết,Major Snow,255,1942-12-08,0,31,khong,tinh-toan,
1942-18,1942,Đông Chí,Winter Solstice,270,1942-12-22,18,23,khong,tinh-toan,
1943-19,1943,Tiểu Hàn,Minor Cold,285,1943-01-06,11,38,khong,tinh-toan,
1943-20,1943,Đại Hàn,Major Cold,300,1943-01-21,5,1,khong,tinh-toan,
1943-21,1943,Lập Xuân,Start of Spring,315,1943-02-04,23,22,khong,tinh-toan,
1943-22,1943,Vũ Thủy,Rain Water,330,1943-02-19,19,23,khong,tinh-toan,
1943-23,1943,Kinh Trập,Awakening of Insects,345,1943-03-06,17,40,khong,tinh-toan,
1943-00,1943,Xuân Phân,Vernal Equinox,0,1943-03-21,18,44,khong,tinh-toan,
1943-01,1943,Thanh Minh,Clear and Bright,15,1943-04-05,22,53,khong,tinh-toan,
1943-02,1943,Cốc Vũ,Grain Rain,30,1943-04-21,6,12,khong,tinh-toan,
1943-03,1943,Lập Hạ,Start of Summer,45,1943-05-06,16,36,khong,tinh-toan,
1943-04,1943,Tiểu Mãn,Grain Buds,60,1943-05-22,5,44,khong,tinh-toan,
1943-05,1943,Mang Chủng,Grain in Ear,75,1943-06-06,21,5,khong,tinh-toan,
1943-06,1943,Hạ Chí,Summer Solstice,90,1943-06-22,13,56,khong,tinh-toan,
1943-07,1943,Tiểu Thử,Minor Heat,105,1943-07-08,7,29,khong,tinh-toan,
1943-08,1943,Đại Thử,Major Heat,120,1943-07-24,0,51,khong,tinh-toan,
1943-09,1943,Lập Thu,Start of Autumn,135,1943-08-08,17,11,khong,tinh-toan,
1943-10,1943,Xử Thử,End of Heat,150,1943-08-24,7,43,khong,tinh-toan,
1943-11,1943,Bạch Lộ,White Dew,165,1943-09-08,19,48,khong,tinh-toan,
1943-12,1943,Thu Phân,Autumnal Equinox,180,1943-09-24,4,59,khong,tinh-toan,
1943-13,1943,Hàn Lộ,Cold Dew,195,1943-10-09,11,2,khong,tinh-toan,
1943-14,1943,Sương Giáng,Frost Descent,210,1943-10-24,13,54,khong,tinh-toan,
1943-15,1943,Lập Đông,Start of Winter,225,1943-11-08,13,48,khong,tinh-toan,
1943-16,1943,Tiểu Tuyết,Minor Snow,240,1943-11-23,11,5,khong,tinh-toan,
1943-17,1943,Đại Tuyết,Major Snow,255,1943-12-08,6,20,khong,tinh-toan,
1943-18,1943,Đông Chí,Winter Solstice,270,1943-12-23,0,13,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1944-19,1944,Tiểu Hàn,Minor Cold,285,1944-01-06,17,27,khong,tinh-toan,
1944-20,1944,Đại Hàn,Major Cold,300,1944-01-21,10,51,khong,tinh-toan,
1944-21,1944,Lập Xuân,Start of Spring,315,1944-02-05,5,12,khong,tinh-toan,
1944-22,1944,Vũ Thủy,Rain Water,330,1944-02-20,1,12,khong,tinh-toan,
1944-23,1944,Kinh Trập,Awakening of Insects,345,1944-03-05,23,29,khong,tinh-toan,
1944-00,1944,Xuân Phân,Vernal Equinox,0,1944-03-21,0,33,khong,tinh-toan,
1944-01,1944,Thanh Minh,Clear and Bright,15,1944-04-05,4,41,khong,tinh-toan,
1944-02,1944,Cốc Vũ,Grain Rain,30,1944-04-20,12,0,khong,tinh-toan,
1944-03,1944,Lập Hạ,Start of Summer,45,1944-05-05,22,24,khong,tinh-toan,
1944-04,1944,Tiểu Mãn,Grain Buds,60,1944-05-21,11,32,khong,tinh-toan,
1944-05,1944,Mang Chủng,Grain in Ear,75,1944-06-06,2,53,khong,tinh-toan,
1944-06,1944,Hạ Chí,Summer Solstice,90,1944-06-21,19,45,khong,tinh-toan,
1944-07,1944,Tiểu Thử,Minor Heat,105,1944-07-07,13,17,khong,tinh-toan,
1944-08,1944,Đại Thử,Major Heat,120,1944-07-23,6,39,khong,tinh-toan,
1944-09,1944,Lập Thu,Start of Autumn,135,1944-08-07,22,59,khong,tinh-toan,
1944-10,1944,Xử Thử,End of Heat,150,1944-08-23,13,31,khong,tinh-toan,
1944-11,1944,Bạch Lộ,White Dew,165,1944-09-08,1,36,khong,tinh-toan,
1944-12,1944,Thu Phân,Autumnal Equinox,180,1944-09-23,10,47,khong,tinh-toan,
1944-13,1944,Hàn Lộ,Cold Dew,195,1944-10-08,16,50,khong,tinh-toan,
1944-14,1944,Sương Giáng,Frost Descent,210,1944-10-23,19,43,khong,tinh-toan,
1944-15,1944,Lập Đông,Start of Winter,225,1944-11-07,19,37,khong,tinh-toan,
1944-16,1944,Tiểu Tuyết,Minor Snow,240,1944-11-22,16,55,khong,tinh-toan,
1944-17,1944,Đại Tuyết,Major Snow,255,1944-12-07,12,10,khong,tinh-toan,
1944-18,1944,Đông Chí,Winter Solstice,270,1944-12-22,6,2,khong,tinh-toan,
1945-19,1945,Tiểu Hàn,Minor Cold,285,1945-01-05,23,16,khong,tinh-toan,
1945-20,1945,Đại Hàn,Major Cold,300,1945-01-20,16,41,khong,tinh-toan,
1945-21,1945,Lập Xuân,Start of Spring,315,1945-02-04,11,1,khong,tinh-toan,
1945-22,1945,Vũ Thủy,Rain Water,330,1945-02-19,7,1,khong,tinh-toan,
1945-23,1945,Kinh Trập,Awakening of Insects,345,1945-03-06,5,18,khong,tinh-toan,
1945-00,1945,Xuân Phân,Vernal Equinox,0,1945-03-21,6,22,khong,tinh-toan,
1945-01,1945,Thanh Minh,Clear and Bright,15,1945-04-05,10,30,khong,tinh-toan,
1945-02,1945,Cốc Vũ,Grain Rain,30,1945-04-20,17,49,khong,tinh-toan,
1945-03,1945,Lập Hạ,Start of Summer,45,1945-05-06,4,13,khong,tinh-toan,
1945-04,1945,Tiểu Mãn,Grain Buds,60,1945-05-21,17,20,khong,tinh-toan,
1945-05,1945,Mang Chủng,Grain in Ear,75,1945-06-06,8,41,khong,tinh-toan,
1945-06,1945,Hạ Chí,Summer Solstice,90,1945-06-22,1,32,khong,tinh-toan,
1945-07,1945,Tiểu Thử,Minor Heat,105,1945-07-07,19,5,khong,tinh-toan,
1945-08,1945,Đại Thử,Major Heat,120,1945-07-23,12,27,khong,tinh-toan,
1945-09,1945,Lập Thu,Start of Autumn,135,1945-08-08,4,47,khong,tinh-toan,
1945-10,1945,Xử Thử,End of Heat,150,1945-08-23,19,19,khong,tinh-toan,
1945-11,1945,Bạch Lộ,White Dew,165,1945-09-08,7,24,khong,tinh-toan,
1945-12,1945,Thu Phân,Autumnal Equinox,180,1945-09-23,16,36,khong,tinh-toan,
1945-13,1945,Hàn Lộ,Cold Dew,195,1945-10-08,22,39,khong,tinh-toan,
1945-14,1945,Sương Giáng,Frost Descent,210,1945-10-24,1,32,khong,tinh-toan,
1945-15,1945,Lập Đông,Start of Winter,225,1945-11-08,1,26,khong,tinh-toan,
1945-16,1945,Tiểu Tuyết,Minor Snow,240,1945-11-22,22,44,khong,tinh-toan,
1945-17,1945,Đại Tuyết,Major Snow,255,1945-12-07,17,59,khong,tinh-toan,
1945-18,1945,Đông Chí,Winter Solstice,270,1945-12-22,11,52,khong,tinh-toan,
1946-19,1946,Tiểu Hàn,Minor Cold,285,1946-01-06,5,6,khong,tinh-toan,
1946-20,1946,Đại Hàn,Major Cold,300,1946-01-20,22,31,khong,tinh-toan,
1946-21,1946,Lập Xuân,Start of Spring,315,1946-02-04,16,50,khong,tinh-toan,
1946-22,1946,Vũ Thủy,Rain Water,330,1946-02-19,12,51,khong,tinh-toan,
1946-23,1946,Kinh Trập,Awakening of Insects,345,1946-03-06,11,8,khong,tinh-toan,
1946-00,1946,Xuân Phân,Vernal Equinox,0,1946-03-21,12,11,khong,tinh-toan,
1946-01,1946,Thanh Minh,Clear and Bright,15,1946-04-05,16,19,khong,tinh-toan,
1946-02,1946,Cốc Vũ,Grain Rain,30,1946-04-20,23,38,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1946-03,1946,Lập Hạ,Start of Summer,45,1946-05-06,10,1,khong,tinh-toan,
1946-04,1946,Tiểu Mãn,Grain Buds,60,1946-05-21,23,9,khong,tinh-toan,
1946-05,1946,Mang Chủng,Grain in Ear,75,1946-06-06,14,29,khong,tinh-toan,
1946-06,1946,Hạ Chí,Summer Solstice,90,1946-06-22,7,20,khong,tinh-toan,
1946-07,1946,Tiểu Thử,Minor Heat,105,1946-07-08,0,52,khong,tinh-toan,
1946-08,1946,Đại Thử,Major Heat,120,1946-07-23,18,15,khong,tinh-toan,
1946-09,1946,Lập Thu,Start of Autumn,135,1946-08-08,10,35,khong,tinh-toan,
1946-10,1946,Xử Thử,End of Heat,150,1946-08-24,1,7,khong,tinh-toan,
1946-11,1946,Bạch Lộ,White Dew,165,1946-09-08,13,13,khong,tinh-toan,
1946-12,1946,Thu Phân,Autumnal Equinox,180,1946-09-23,22,24,khong,tinh-toan,
1946-13,1946,Hàn Lộ,Cold Dew,195,1946-10-09,4,28,khong,tinh-toan,
1946-14,1946,Sương Giáng,Frost Descent,210,1946-10-24,7,21,khong,tinh-toan,
1946-15,1946,Lập Đông,Start of Winter,225,1946-11-08,7,15,khong,tinh-toan,
1946-16,1946,Tiểu Tuyết,Minor Snow,240,1946-11-23,4,33,khong,tinh-toan,
1946-17,1946,Đại Tuyết,Major Snow,255,1946-12-07,23,49,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1946-18,1946,Đông Chí,Winter Solstice,270,1946-12-22,17,41,khong,tinh-toan,
1947-19,1947,Tiểu Hàn,Minor Cold,285,1947-01-06,10,55,khong,tinh-toan,
1947-20,1947,Đại Hàn,Major Cold,300,1947-01-21,4,20,khong,tinh-toan,
1947-21,1947,Lập Xuân,Start of Spring,315,1947-02-04,22,40,khong,tinh-toan,
1947-22,1947,Vũ Thủy,Rain Water,330,1947-02-19,18,39,khong,tinh-toan,
1947-23,1947,Kinh Trập,Awakening of Insects,345,1947-03-06,16,57,khong,tinh-toan,
1947-00,1947,Xuân Phân,Vernal Equinox,0,1947-03-21,18,0,khong,tinh-toan,
1947-01,1947,Thanh Minh,Clear and Bright,15,1947-04-05,22,8,khong,tinh-toan,
1947-02,1947,Cốc Vũ,Grain Rain,30,1947-04-21,5,27,khong,tinh-toan,
1947-03,1947,Lập Hạ,Start of Summer,45,1947-05-06,15,50,khong,tinh-toan,
1947-04,1947,Tiểu Mãn,Grain Buds,60,1947-05-22,4,57,khong,tinh-toan,
1947-05,1947,Mang Chủng,Grain in Ear,75,1947-06-06,20,17,khong,tinh-toan,
1947-06,1947,Hạ Chí,Summer Solstice,90,1947-06-22,13,8,khong,tinh-toan,
1947-07,1947,Tiểu Thử,Minor Heat,105,1947-07-08,6,41,khong,tinh-toan,
1947-08,1947,Đại Thử,Major Heat,120,1947-07-24,0,2,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1947-09,1947,Lập Thu,Start of Autumn,135,1947-08-08,16,23,khong,tinh-toan,
1947-10,1947,Xử Thử,End of Heat,150,1947-08-24,6,55,khong,tinh-toan,
1947-11,1947,Bạch Lộ,White Dew,165,1947-09-08,19,1,khong,tinh-toan,
1947-12,1947,Thu Phân,Autumnal Equinox,180,1947-09-24,4,13,khong,tinh-toan,
1947-13,1947,Hàn Lộ,Cold Dew,195,1947-10-09,10,16,khong,tinh-toan,
1947-14,1947,Sương Giáng,Frost Descent,210,1947-10-24,13,10,khong,tinh-toan,
1947-15,1947,Lập Đông,Start of Winter,225,1947-11-08,13,4,khong,tinh-toan,
1947-16,1947,Tiểu Tuyết,Minor Snow,240,1947-11-23,10,23,khong,tinh-toan,
1947-17,1947,Đại Tuyết,Major Snow,255,1947-12-08,5,38,khong,tinh-toan,
1947-18,1947,Đông Chí,Winter Solstice,270,1947-12-22,23,31,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1948-19,1948,Tiểu Hàn,Minor Cold,285,1948-01-06,16,45,khong,tinh-toan,
1948-20,1948,Đại Hàn,Major Cold,300,1948-01-21,10,10,khong,tinh-toan,
1948-21,1948,Lập Xuân,Start of Spring,315,1948-02-05,4,30,khong,tinh-toan,
1948-22,1948,Vũ Thủy,Rain Water,330,1948-02-20,0,29,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1948-23,1948,Kinh Trập,Awakening of Insects,345,1948-03-05,22,46,khong,tinh-toan,
1948-00,1948,Xuân Phân,Vernal Equinox,0,1948-03-20,23,49,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1948-01,1948,Thanh Minh,Clear and Bright,15,1948-04-05,3,56,khong,tinh-toan,
1948-02,1948,Cốc Vũ,Grain Rain,30,1948-04-20,11,15,khong,tinh-toan,
1948-03,1948,Lập Hạ,Start of Summer,45,1948-05-05,21,38,khong,tinh-toan,
1948-04,1948,Tiểu Mãn,Grain Buds,60,1948-05-21,10,46,khong,tinh-toan,
1948-05,1948,Mang Chủng,Grain in Ear,75,1948-06-06,2,5,khong,tinh-toan,
1948-06,1948,Hạ Chí,Summer Solstice,90,1948-06-21,18,56,khong,tinh-toan,
1948-07,1948,Tiểu Thử,Minor Heat,105,1948-07-07,12,29,khong,tinh-toan,
1948-08,1948,Đại Thử,Major Heat,120,1948-07-23,5,50,khong,tinh-toan,
1948-09,1948,Lập Thu,Start of Autumn,135,1948-08-07,22,11,khong,tinh-toan,
1948-10,1948,Xử Thử,End of Heat,150,1948-08-23,12,44,khong,tinh-toan,
1948-11,1948,Bạch Lộ,White Dew,165,1948-09-08,0,49,khong,tinh-toan,
1948-12,1948,Thu Phân,Autumnal Equinox,180,1948-09-23,10,1,khong,tinh-toan,
1948-13,1948,Hàn Lộ,Cold Dew,195,1948-10-08,16,5,khong,tinh-toan,
1948-14,1948,Sương Giáng,Frost Descent,210,1948-10-23,18,59,khong,tinh-toan,
1948-15,1948,Lập Đông,Start of Winter,225,1948-11-07,18,54,khong,tinh-toan,
1948-16,1948,Tiểu Tuyết,Minor Snow,240,1948-11-22,16,12,khong,tinh-toan,
1948-17,1948,Đại Tuyết,Major Snow,255,1948-12-07,11,28,khong,tinh-toan,
1948-18,1948,Đông Chí,Winter Solstice,270,1948-12-22,5,21,khong,tinh-toan,
1949-19,1949,Tiểu Hàn,Minor Cold,285,1949-01-05,22,35,khong,tinh-toan,
1949-20,1949,Đại Hàn,Major Cold,300,1949-01-20,15,59,khong,tinh-toan,
1949-21,1949,Lập Xuân,Start of Spring,315,1949-02-04,10,19,khong,tinh-toan,
1949-22,1949,Vũ Thủy,Rain Water,330,1949-02-19,6,19,khong,tinh-toan,
1949-23,1949,Kinh Trập,Awakening of Insects,345,1949-03-06,4,35,khong,tinh-toan,
1949-00,1949,Xuân Phân,Vernal Equinox,0,1949-03-21,5,38,khong,tinh-toan,
1949-01,1949,Thanh Minh,Clear and Bright,15,1949-04-05,9,45,khong,tinh-toan,
1949-02,1949,Cốc Vũ,Grain Rain,30,1949-04-20,17,4,khong,tinh-toan,
1949-03,1949,Lập Hạ,Start of Summer,45,1949-05-06,3,26,khong,tinh-toan,
1949-04,1949,Tiểu Mãn,Grain Buds,60,1949-05-21,16,34,khong,tinh-toan,
1949-05,1949,Mang Chủng,Grain in Ear,75,1949-06-06,7,53,khong,tinh-toan,
1949-06,1949,Hạ Chí,Summer Solstice,90,1949-06-22,0,44,khong,tinh-toan,
1949-07,1949,Tiểu Thử,Minor Heat,105,1949-07-07,18,17,khong,tinh-toan,
1949-08,1949,Đại Thử,Major Heat,120,1949-07-23,11,38,khong,tinh-toan,
1949-09,1949,Lập Thu,Start of Autumn,135,1949-08-08,3,59,khong,tinh-toan,
1949-10,1949,Xử Thử,End of Heat,150,1949-08-23,18,32,khong,tinh-toan,
1949-11,1949,Bạch Lộ,White Dew,165,1949-09-08,6,38,khong,tinh-toan,
1949-12,1949,Thu Phân,Autumnal Equinox,180,1949-09-23,15,50,khong,tinh-toan,
1949-13,1949,Hàn Lộ,Cold Dew,195,1949-10-08,21,54,khong,tinh-toan,
1949-14,1949,Sương Giáng,Frost Descent,210,1949-10-24,0,47,khong,tinh-toan,
1949-15,1949,Lập Đông,Start of Winter,225,1949-11-08,0,43,khong,tinh-toan,
1949-16,1949,Tiểu Tuyết,Minor Snow,240,1949-11-22,22,2,khong,tinh-toan,
1949-17,1949,Đại Tuyết,Major Snow,255,1949-12-07,17,18,khong,tinh-toan,
1949-18,1949,Đông Chí,Winter Solstice,270,1949-12-22,11,10,khong,tinh-toan,
1950-19,1950,Tiểu Hàn,Minor Cold,285,1950-01-06,4,24,khong,tinh-toan,
1950-20,1950,Đại Hàn,Major Cold,300,1950-01-20,21,48,khong,tinh-toan,
1950-21,1950,Lập Xuân,Start of Spring,315,1950-02-04,16,8,khong,tinh-toan,
1950-22,1950,Vũ Thủy,Rain Water,330,1950-02-19,12,7,khong,tinh-toan,
1950-23,1950,Kinh Trập,Awakening of Insects,345,1950-03-06,10,25,khong,tinh-toan,
1950-00,1950,Xuân Phân,Vernal Equinox,0,1950-03-21,11,27,khong,tinh-toan,
1950-01,1950,Thanh Minh,Clear and Bright,15,1950-04-05,15,34,khong,tinh-toan,
1950-02,1950,Cốc Vũ,Grain Rain,30,1950-04-20,22,53,khong,tinh-toan,
1950-03,1950,Lập Hạ,Start of Summer,45,1950-05-06,9,14,khong,tinh-toan,
1950-04,1950,Tiểu Mãn,Grain Buds,60,1950-05-21,22,22,khong,tinh-toan,
1950-05,1950,Mang Chủng,Grain in Ear,75,1950-06-06,13,42,khong,tinh-toan,
1950-06,1950,Hạ Chí,Summer Solstice,90,1950-06-22,6,32,khong,tinh-toan,
1950-07,1950,Tiểu Thử,Minor Heat,105,1950-07-08,0,4,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1950-08,1950,Đại Thử,Major Heat,120,1950-07-23,17,27,khong,tinh-toan,
1950-09,1950,Lập Thu,Start of Autumn,135,1950-08-08,9,47,khong,tinh-toan,
1950-10,1950,Xử Thử,End of Heat,150,1950-08-24,0,20,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1950-11,1950,Bạch Lộ,White Dew,165,1950-09-08,12,26,khong,tinh-toan,
1950-12,1950,Thu Phân,Autumnal Equinox,180,1950-09-23,21,39,khong,tinh-toan,
1950-13,1950,Hàn Lộ,Cold Dew,195,1950-10-09,3,42,khong,tinh-toan,
1950-14,1950,Sương Giáng,Frost Descent,210,1950-10-24,6,36,khong,tinh-toan,
1950-15,1950,Lập Đông,Start of Winter,225,1950-11-08,6,32,khong,tinh-toan,
1950-16,1950,Tiểu Tuyết,Minor Snow,240,1950-11-23,3,51,khong,tinh-toan,
1950-17,1950,Đại Tuyết,Major Snow,255,1950-12-07,23,7,khong,tinh-toan,
1950-18,1950,Đông Chí,Winter Solstice,270,1950-12-22,16,59,khong,tinh-toan,
1951-19,1951,Tiểu Hàn,Minor Cold,285,1951-01-06,10,14,khong,tinh-toan,
1951-20,1951,Đại Hàn,Major Cold,300,1951-01-21,3,38,khong,tinh-toan,
1951-21,1951,Lập Xuân,Start of Spring,315,1951-02-04,21,58,khong,tinh-toan,
1951-22,1951,Vũ Thủy,Rain Water,330,1951-02-19,17,57,khong,tinh-toan,
1951-23,1951,Kinh Trập,Awakening of Insects,345,1951-03-06,16,14,khong,tinh-toan,
1951-00,1951,Xuân Phân,Vernal Equinox,0,1951-03-21,17,16,khong,tinh-toan,
1951-01,1951,Thanh Minh,Clear and Bright,15,1951-04-05,21,23,khong,tinh-toan,
1951-02,1951,Cốc Vũ,Grain Rain,30,1951-04-21,4,41,khong,tinh-toan,
1951-03,1951,Lập Hạ,Start of Summer,45,1951-05-06,15,3,khong,tinh-toan,
1951-04,1951,Tiểu Mãn,Grain Buds,60,1951-05-22,4,10,khong,tinh-toan,
1951-05,1951,Mang Chủng,Grain in Ear,75,1951-06-06,19,30,khong,tinh-toan,
1951-06,1951,Hạ Chí,Summer Solstice,90,1951-06-22,12,20,khong,tinh-toan,
1951-07,1951,Tiểu Thử,Minor Heat,105,1951-07-08,5,52,khong,tinh-toan,
1951-08,1951,Đại Thử,Major Heat,120,1951-07-23,23,15,khong,tinh-toan,
1951-09,1951,Lập Thu,Start of Autumn,135,1951-08-08,15,35,khong,tinh-toan,
1951-10,1951,Xử Thử,End of Heat,150,1951-08-24,6,8,khong,tinh-toan,
1951-11,1951,Bạch Lộ,White Dew,165,1951-09-08,18,14,khong,tinh-toan,
1951-12,1951,Thu Phân,Autumnal Equinox,180,1951-09-24,3,27,khong,tinh-toan,
1951-13,1951,Hàn Lộ,Cold Dew,195,1951-10-09,9,31,khong,tinh-toan,
1951-14,1951,Sương Giáng,Frost Descent,210,1951-10-24,12,25,khong,tinh-toan,
1951-15,1951,Lập Đông,Start of Winter,225,1951-11-08,12,21,khong,tinh-toan,
1951-16,1951,Tiểu Tuyết,Minor Snow,240,1951-11-23,9,40,khong,tinh-toan,
1951-17,1951,Đại Tuyết,Major Snow,255,1951-12-08,4,56,khong,tinh-toan,
1951-18,1951,Đông Chí,Winter Solstice,270,1951-12-22,22,49,khong,tinh-toan,
1952-19,1952,Tiểu Hàn,Minor Cold,285,1952-01-06,16,4,khong,tinh-toan,
1952-20,1952,Đại Hàn,Major Cold,300,1952-01-21,9,28,khong,tinh-toan,
1952-21,1952,Lập Xuân,Start of Spring,315,1952-02-05,3,47,khong,tinh-toan,
1952-22,1952,Vũ Thủy,Rain Water,330,1952-02-19,23,46,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1952-23,1952,Kinh Trập,Awakening of Insects,345,1952-03-05,22,2,khong,tinh-toan,
1952-00,1952,Xuân Phân,Vernal Equinox,0,1952-03-20,23,5,khong,tinh-toan,
1952-01,1952,Thanh Minh,Clear and Bright,15,1952-04-05,3,11,khong,tinh-toan,
1952-02,1952,Cốc Vũ,Grain Rain,30,1952-04-20,10,29,khong,tinh-toan,
1952-03,1952,Lập Hạ,Start of Summer,45,1952-05-05,20,51,khong,tinh-toan,
1952-04,1952,Tiểu Mãn,Grain Buds,60,1952-05-21,9,58,khong,tinh-toan,
1952-05,1952,Mang Chủng,Grain in Ear,75,1952-06-06,1,17,khong,tinh-toan,
1952-06,1952,Hạ Chí,Summer Solstice,90,1952-06-21,18,8,khong,tinh-toan,
1952-07,1952,Tiểu Thử,Minor Heat,105,1952-07-07,11,40,khong,tinh-toan,
1952-08,1952,Đại Thử,Major Heat,120,1952-07-23,5,2,khong,tinh-toan,
1952-09,1952,Lập Thu,Start of Autumn,135,1952-08-07,21,23,khong,tinh-toan,
1952-10,1952,Xử Thử,End of Heat,150,1952-08-23,11,56,khong,tinh-toan,
1952-11,1952,Bạch Lộ,White Dew,165,1952-09-08,0,2,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1952-12,1952,Thu Phân,Autumnal Equinox,180,1952-09-23,9,15,khong,tinh-toan,
1952-13,1952,Hàn Lộ,Cold Dew,195,1952-10-08,15,20,khong,tinh-toan,
