id,le_hoi,le_hoi_en,nam,ngay_duong,thu,loai_ngay,ngay_am,ngay_nghi,nguon,ghi_chu
le-hoi-chua-dau-2030,Lễ hội chùa Dâu,Chùa Dâu Festival,2030,2030-05-09,thứ Năm,lunar,8/4,khong,bien-tap va tinh-toan,
le-hoi-chua-huong-2026,Lễ hội Chùa Hương,Perfume Pagoda Festival,2026,2026-02-22,Chủ Nhật,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-chua-huong-2027,Lễ hội Chùa Hương,Perfume Pagoda Festival,2027,2027-02-11,thứ Năm,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-chua-huong-2028,Lễ hội Chùa Hương,Perfume Pagoda Festival,2028,2028-01-31,thứ Hai,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-chua-huong-2029,Lễ hội Chùa Hương,Perfume Pagoda Festival,2029,2029-02-18,Chủ Nhật,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-chua-huong-2030,Lễ hội Chùa Hương,Perfume Pagoda Festival,2030,2030-02-07,thứ Năm,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-chua-keo-hanh-thien-2026,Lễ hội chùa Keo Hành Thiện,Keo Hanh Thien Pagoda Festival,2026,2026-10-19,thứ Hai,lunar,10/9,khong,bien-tap va tinh-toan,
le-hoi-chua-keo-hanh-thien-2027,Lễ hội chùa Keo Hành Thiện,Keo Hanh Thien Pagoda Festival,2027,2027-10-09,thứ Bảy,lunar,10/9,khong,bien-tap va tinh-toan,
le-hoi-chua-keo-hanh-thien-2028,Lễ hội chùa Keo Hành Thiện,Keo Hanh Thien Pagoda Festival,2028,2028-10-27,thứ Sáu,lunar,10/9,khong,bien-tap va tinh-toan,
le-hoi-chua-keo-hanh-thien-2029,Lễ hội chùa Keo Hành Thiện,Keo Hanh Thien Pagoda Festival,2029,2029-10-17,thứ Tư,lunar,10/9,khong,bien-tap va tinh-toan,
le-hoi-chua-keo-hanh-thien-2030,Lễ hội chùa Keo Hành Thiện,Keo Hanh Thien Pagoda Festival,2030,2030-10-06,Chủ Nhật,lunar,10/9,khong,bien-tap va tinh-toan,
le-hoi-chua-keo-mua-thu-2026,Lễ hội chùa Keo mùa Thu,Keo Pagoda Autumn Festival,2026,2026-10-24,thứ Bảy,lunar,15/9,khong,bien-tap va tinh-toan,
le-hoi-chua-keo-mua-thu-2027,Lễ hội chùa Keo mùa Thu,Keo Pagoda Autumn Festival,2027,2027-10-14,thứ Năm,lunar,15/9,khong,bien-tap va tinh-toan,
le-hoi-chua-keo-mua-thu-2028,Lễ hội chùa Keo mùa Thu,Keo Pagoda Autumn Festival,2028,2028-11-01,thứ Tư,lunar,15/9,khong,bien-tap va tinh-toan,
le-hoi-chua-keo-mua-thu-2029,Lễ hội chùa Keo mùa Thu,Keo Pagoda Autumn Festival,2029,2029-10-22,thứ Hai,lunar,15/9,khong,bien-tap va tinh-toan,
le-hoi-chua-keo-mua-thu-2030,Lễ hội chùa Keo mùa Thu,Keo Pagoda Autumn Festival,2030,2030-10-11,thứ Sáu,lunar,15/9,khong,bien-tap va tinh-toan,
le-hoi-chua-ong-cu-lao-pho-2026,Lễ hội chùa Ông cù lao Phố,"Chùa Ông Festival, Cù lao Phố",2026,2026-02-26,thứ Năm,lunar,10/1,khong,bien-tap va tinh-toan,
le-hoi-chua-ong-cu-lao-pho-2027,Lễ hội chùa Ông cù lao Phố,"Chùa Ông Festival, Cù lao Phố",2027,2027-02-15,thứ Hai,lunar,10/1,khong,bien-tap va tinh-toan,
le-hoi-chua-ong-cu-lao-pho-2028,Lễ hội chùa Ông cù lao Phố,"Chùa Ông Festival, Cù lao Phố",2028,2028-02-04,thứ Sáu,lunar,10/1,khong,bien-tap va tinh-toan,
le-hoi-chua-ong-cu-lao-pho-2029,Lễ hội chùa Ông cù lao Phố,"Chùa Ông Festival, Cù lao Phố",2029,2029-02-22,thứ Năm,lunar,10/1,khong,bien-tap va tinh-toan,
le-hoi-chua-ong-cu-lao-pho-2030,Lễ hội chùa Ông cù lao Phố,"Chùa Ông Festival, Cù lao Phố",2030,2030-02-11,thứ Hai,lunar,10/1,khong,bien-tap va tinh-toan,
le-hoi-chua-thay-2026,Lễ hội chùa Thầy,Chùa Thầy Festival,2026,2026-04-23,thứ Năm,lunar,7/3,khong,bien-tap va tinh-toan,
le-hoi-chua-thay-2027,Lễ hội chùa Thầy,Chùa Thầy Festival,2027,2027-04-13,thứ Ba,lunar,7/3,khong,bien-tap va tinh-toan,
le-hoi-chua-thay-2028,Lễ hội chùa Thầy,Chùa Thầy Festival,2028,2028-04-01,thứ Bảy,lunar,7/3,khong,bien-tap va tinh-toan,
le-hoi-chua-thay-2029,Lễ hội chùa Thầy,Chùa Thầy Festival,2029,2029-04-20,thứ Sáu,lunar,7/3,khong,bien-tap va tinh-toan,
le-hoi-chua-thay-2030,Lễ hội chùa Thầy,Chùa Thầy Festival,2030,2030-04-09,thứ Ba,lunar,7/3,khong,bien-tap va tinh-toan,
le-hoi-co-loa-2026,Lễ hội Cổ Loa,Cổ Loa Festival,2026,2026-02-22,Chủ Nhật,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-co-loa-2027,Lễ hội Cổ Loa,Cổ Loa Festival,2027,2027-02-11,thứ Năm,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-co-loa-2028,Lễ hội Cổ Loa,Cổ Loa Festival,2028,2028-01-31,thứ Hai,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-co-loa-2029,Lễ hội Cổ Loa,Cổ Loa Festival,2029,2029-02-18,Chủ Nhật,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-co-loa-2030,Lễ hội Cổ Loa,Cổ Loa Festival,2030,2030-02-07,thứ Năm,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-con-son-kiep-bac-mua-thu-2026,"Lễ hội Côn Sơn, Kiếp Bạc mùa Thu",Côn Sơn and Kiếp Bạc Autumn Festival,2026,2026-09-30,thứ Tư,lunar,20/8,khong,bien-tap va tinh-toan,
le-hoi-con-son-kiep-bac-mua-thu-2027,"Lễ hội Côn Sơn, Kiếp Bạc mùa Thu",Côn Sơn and Kiếp Bạc Autumn Festival,2027,2027-09-20,thứ Hai,lunar,20/8,khong,bien-tap va tinh-toan,
le-hoi-con-son-kiep-bac-mua-thu-2028,"Lễ hội Côn Sơn, Kiếp Bạc mùa Thu",Côn Sơn and Kiếp Bạc Autumn Festival,2028,2028-10-08,Chủ Nhật,lunar,20/8,khong,bien-tap va tinh-toan,
le-hoi-con-son-kiep-bac-mua-thu-2029,"Lễ hội Côn Sơn, Kiếp Bạc mùa Thu",Côn Sơn and Kiếp Bạc Autumn Festival,2029,2029-09-27,thứ Năm,lunar,20/8,khong,bien-tap va tinh-toan,
le-hoi-con-son-kiep-bac-mua-thu-2030,"Lễ hội Côn Sơn, Kiếp Bạc mùa Thu",Côn Sơn and Kiếp Bạc Autumn Festival,2030,2030-09-17,thứ Ba,lunar,20/8,khong,bien-tap va tinh-toan,
le-hoi-con-son-kiep-bac-mua-xuan-2026,"Lễ hội Côn Sơn, Kiếp Bạc mùa Xuân",Côn Sơn and Kiếp Bạc Spring Festival,2026,2026-03-06,thứ Sáu,lunar,18/1,khong,bien-tap va tinh-toan,
le-hoi-con-son-kiep-bac-mua-xuan-2027,"Lễ hội Côn Sơn, Kiếp Bạc mùa Xuân",Côn Sơn and Kiếp Bạc Spring Festival,2027,2027-02-23,thứ Ba,lunar,18/1,khong,bien-tap va tinh-toan,
le-hoi-con-son-kiep-bac-mua-xuan-2028,"Lễ hội Côn Sơn, Kiếp Bạc mùa Xuân",Côn Sơn and Kiếp Bạc Spring Festival,2028,2028-02-12,thứ Bảy,lunar,18/1,khong,bien-tap va tinh-toan,
le-hoi-con-son-kiep-bac-mua-xuan-2029,"Lễ hội Côn Sơn, Kiếp Bạc mùa Xuân",Côn Sơn and Kiếp Bạc Spring Festival,2029,2029-03-02,thứ Sáu,lunar,18/1,khong,bien-tap va tinh-toan,
le-hoi-con-son-kiep-bac-mua-xuan-2030,"Lễ hội Côn Sơn, Kiếp Bạc mùa Xuân",Côn Sơn and Kiếp Bạc Spring Festival,2030,2030-02-19,thứ Ba,lunar,18/1,khong,bien-tap va tinh-toan,
le-hoi-den-ba-trieu-2026,Lễ hội đền Bà Triệu,Bà Triệu Temple Festival,2026,2026-04-09,thứ Năm,lunar,22/2,khong,bien-tap va tinh-toan,
le-hoi-den-ba-trieu-2027,Lễ hội đền Bà Triệu,Bà Triệu Temple Festival,2027,2027-03-29,thứ Hai,lunar,22/2,khong,bien-tap va tinh-toan,
le-hoi-den-ba-trieu-2028,Lễ hội đền Bà Triệu,Bà Triệu Temple Festival,2028,2028-03-17,thứ Sáu,lunar,22/2,khong,bien-tap va tinh-toan,
le-hoi-den-ba-trieu-2029,Lễ hội đền Bà Triệu,Bà Triệu Temple Festival,2029,2029-04-05,thứ Năm,lunar,22/2,khong,bien-tap va tinh-toan,
le-hoi-den-ba-trieu-2030,Lễ hội đền Bà Triệu,Bà Triệu Temple Festival,2030,2030-03-25,thứ Hai,lunar,22/2,khong,bien-tap va tinh-toan,
le-hoi-den-bao-ha-2026,Lễ hội đền Bảo Hà,Đền Bảo Hà Festival,2026,2026-08-29,thứ Bảy,lunar,17/7,khong,bien-tap va tinh-toan,
le-hoi-den-bao-ha-2027,Lễ hội đền Bảo Hà,Đền Bảo Hà Festival,2027,2027-08-18,thứ Tư,lunar,17/7,khong,bien-tap va tinh-toan,
le-hoi-den-bao-ha-2028,Lễ hội đền Bảo Hà,Đền Bảo Hà Festival,2028,2028-09-05,thứ Ba,lunar,17/7,khong,bien-tap va tinh-toan,
le-hoi-den-bao-ha-2029,Lễ hội đền Bảo Hà,Đền Bảo Hà Festival,2029,2029-08-26,Chủ Nhật,lunar,17/7,khong,bien-tap va tinh-toan,
le-hoi-den-bao-ha-2030,Lễ hội đền Bảo Hà,Đền Bảo Hà Festival,2030,2030-08-15,thứ Năm,lunar,17/7,khong,bien-tap va tinh-toan,
le-hoi-den-cho-cui-2026,Lễ hội đền Chợ Củi,Cho Cui Temple Festival,2026,2026-11-11,thứ Tư,lunar,3/10,khong,bien-tap va tinh-toan,
le-hoi-den-cho-cui-2027,Lễ hội đền Chợ Củi,Cho Cui Temple Festival,2027,2027-10-31,Chủ Nhật,lunar,3/10,khong,bien-tap va tinh-toan,
le-hoi-den-cho-cui-2028,Lễ hội đền Chợ Củi,Cho Cui Temple Festival,2028,2028-11-18,thứ Bảy,lunar,3/10,khong,bien-tap va tinh-toan,
le-hoi-den-cho-cui-2029,Lễ hội đền Chợ Củi,Cho Cui Temple Festival,2029,2029-11-08,thứ Năm,lunar,3/10,khong,bien-tap va tinh-toan,
le-hoi-den-cho-cui-2030,Lễ hội đền Chợ Củi,Cho Cui Temple Festival,2030,2030-10-29,thứ Ba,lunar,3/10,khong,bien-tap va tinh-toan,
le-hoi-den-con-2026,Lễ hội đền Cờn,Đền Cờn Festival,2026,2026-03-08,Chủ Nhật,lunar,20/1,khong,bien-tap va tinh-toan,
le-hoi-den-con-2027,Lễ hội đền Cờn,Đền Cờn Festival,2027,2027-02-25,thứ Năm,lunar,20/1,khong,bien-tap va tinh-toan,
le-hoi-den-con-2028,Lễ hội đền Cờn,Đền Cờn Festival,2028,2028-02-14,thứ Hai,lunar,20/1,khong,bien-tap va tinh-toan,
le-hoi-den-con-2029,Lễ hội đền Cờn,Đền Cờn Festival,2029,2029-03-04,Chủ Nhật,lunar,20/1,khong,bien-tap va tinh-toan,
le-hoi-den-con-2030,Lễ hội đền Cờn,Đền Cờn Festival,2030,2030-02-21,thứ Năm,lunar,20/1,khong,bien-tap va tinh-toan,
le-hoi-den-cong-dong-bac-le-2026,Lễ hội đền Công Đồng Bắc Lệ,Bac Le Temple Festival,2026,2026-10-27,thứ Ba,lunar,18/9,khong,bien-tap va tinh-toan,
le-hoi-den-cong-dong-bac-le-2027,Lễ hội đền Công Đồng Bắc Lệ,Bac Le Temple Festival,2027,2027-10-17,Chủ Nhật,lunar,18/9,khong,bien-tap va tinh-toan,
le-hoi-den-cong-dong-bac-le-2028,Lễ hội đền Công Đồng Bắc Lệ,Bac Le Temple Festival,2028,2028-11-04,thứ Bảy,lunar,18/9,khong,bien-tap va tinh-toan,
le-hoi-den-cong-dong-bac-le-2029,Lễ hội đền Công Đồng Bắc Lệ,Bac Le Temple Festival,2029,2029-10-25,thứ Năm,lunar,18/9,khong,bien-tap va tinh-toan,
le-hoi-den-cong-dong-bac-le-2030,Lễ hội đền Công Đồng Bắc Lệ,Bac Le Temple Festival,2030,2030-10-14,thứ Hai,lunar,18/9,khong,bien-tap va tinh-toan,
le-hoi-den-cua-ong-2026,Lễ hội đền Cửa Ông,Đền Cửa Ông Festival,2026,2026-03-21,thứ Bảy,lunar,3/2,khong,bien-tap va tinh-toan,
le-hoi-den-cua-ong-2027,Lễ hội đền Cửa Ông,Đền Cửa Ông Festival,2027,2027-03-10,thứ Tư,lunar,3/2,khong,bien-tap va tinh-toan,
le-hoi-den-cua-ong-2028,Lễ hội đền Cửa Ông,Đền Cửa Ông Festival,2028,2028-02-27,Chủ Nhật,lunar,3/2,khong,bien-tap va tinh-toan,
le-hoi-den-cua-ong-2029,Lễ hội đền Cửa Ông,Đền Cửa Ông Festival,2029,2029-03-17,thứ Bảy,lunar,3/2,khong,bien-tap va tinh-toan,
le-hoi-den-cua-ong-2030,Lễ hội đền Cửa Ông,Đền Cửa Ông Festival,2030,2030-03-06,thứ Tư,lunar,3/2,khong,bien-tap va tinh-toan,
le-hoi-den-cuong-2026,Lễ hội đền Cuông,Đền Cuông Festival,2026,2026-04-02,thứ Năm,lunar,15/2,khong,bien-tap va tinh-toan,
le-hoi-den-cuong-2027,Lễ hội đền Cuông,Đền Cuông Festival,2027,2027-03-22,thứ Hai,lunar,15/2,khong,bien-tap va tinh-toan,
le-hoi-den-cuong-2028,Lễ hội đền Cuông,Đền Cuông Festival,2028,2028-03-10,thứ Sáu,lunar,15/2,khong,bien-tap va tinh-toan,
le-hoi-den-cuong-2029,Lễ hội đền Cuông,Đền Cuông Festival,2029,2029-03-29,thứ Năm,lunar,15/2,khong,bien-tap va tinh-toan,
le-hoi-den-cuong-2030,Lễ hội đền Cuông,Đền Cuông Festival,2030,2030-03-18,thứ Hai,lunar,15/2,khong,bien-tap va tinh-toan,
le-hoi-den-do-2026,Lễ hội đền Đô,Đô Temple Festival,2026,2026-05-01,thứ Sáu,lunar,15/3,khong,bien-tap va tinh-toan,
le-hoi-den-do-2027,Lễ hội đền Đô,Đô Temple Festival,2027,2027-04-21,thứ Tư,lunar,15/3,khong,bien-tap va tinh-toan,
le-hoi-den-do-2028,Lễ hội đền Đô,Đô Temple Festival,2028,2028-04-09,Chủ Nhật,lunar,15/3,khong,bien-tap va tinh-toan,
le-hoi-den-do-2029,Lễ hội đền Đô,Đô Temple Festival,2029,2029-04-28,thứ Bảy,lunar,15/3,khong,bien-tap va tinh-toan,
le-hoi-den-do-2030,Lễ hội đền Đô,Đô Temple Festival,2030,2030-04-17,thứ Tư,lunar,15/3,khong,bien-tap va tinh-toan,
le-hoi-den-hai-ba-trung-me-linh-2026,Lễ hội đền Hai Bà Trưng (Mê Linh),Hai Bà Trưng Temple Festival (Mê Linh),2026,2026-02-22,Chủ Nhật,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-den-hai-ba-trung-me-linh-2027,Lễ hội đền Hai Bà Trưng (Mê Linh),Hai Bà Trưng Temple Festival (Mê Linh),2027,2027-02-11,thứ Năm,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-den-hai-ba-trung-me-linh-2028,Lễ hội đền Hai Bà Trưng (Mê Linh),Hai Bà Trưng Temple Festival (Mê Linh),2028,2028-01-31,thứ Hai,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-den-hai-ba-trung-me-linh-2029,Lễ hội đền Hai Bà Trưng (Mê Linh),Hai Bà Trưng Temple Festival (Mê Linh),2029,2029-02-18,Chủ Nhật,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-den-hai-ba-trung-me-linh-2030,Lễ hội đền Hai Bà Trưng (Mê Linh),Hai Bà Trưng Temple Festival (Mê Linh),2030,2030-02-07,thứ Năm,lunar,6/1,khong,bien-tap va tinh-toan,
le-hoi-den-hat-mon-2026,Lễ hội đền Hát Môn,Đền Hát Môn Festival,2026,2026-04-22,thứ Tư,lunar,6/3,khong,bien-tap va tinh-toan,
le-hoi-den-hat-mon-2027,Lễ hội đền Hát Môn,Đền Hát Môn Festival,2027,2027-04-12,thứ Hai,lunar,6/3,khong,bien-tap va tinh-toan,
le-hoi-den-hat-mon-2028,Lễ hội đền Hát Môn,Đền Hát Môn Festival,2028,2028-03-31,thứ Sáu,lunar,6/3,khong,bien-tap va tinh-toan,
le-hoi-den-hat-mon-2029,Lễ hội đền Hát Môn,Đền Hát Môn Festival,2029,2029-04-19,thứ Năm,lunar,6/3,khong,bien-tap va tinh-toan,
le-hoi-den-hat-mon-2030,Lễ hội đền Hát Môn,Đền Hát Môn Festival,2030,2030-04-08,thứ Hai,lunar,6/3,khong,bien-tap va tinh-toan,
le-hoi-den-ky-cung-den-ta-phu-2026,"Lễ hội đền Kỳ Cùng, đền Tả Phủ",Kỳ Cùng and Tả Phủ Temples Festival,2026,2026-03-10,thứ Ba,lunar,22/1,khong,bien-tap va tinh-toan,
le-hoi-den-ky-cung-den-ta-phu-2027,"Lễ hội đền Kỳ Cùng, đền Tả Phủ",Kỳ Cùng and Tả Phủ Temples Festival,2027,2027-02-27,thứ Bảy,lunar,22/1,khong,bien-tap va tinh-toan,
le-hoi-den-ky-cung-den-ta-phu-2028,"Lễ hội đền Kỳ Cùng, đền Tả Phủ",Kỳ Cùng and Tả Phủ Temples Festival,2028,2028-02-16,thứ Tư,lunar,22/1,khong,bien-tap va tinh-toan,
le-hoi-den-ky-cung-den-ta-phu-2029,"Lễ hội đền Kỳ Cùng, đền Tả Phủ",Kỳ Cùng and Tả Phủ Temples Festival,2029,2029-03-06,thứ Ba,lunar,22/1,khong,bien-tap va tinh-toan,
le-hoi-den-ky-cung-den-ta-phu-2030,"Lễ hội đền Kỳ Cùng, đền Tả Phủ",Kỳ Cùng and Tả Phủ Temples Festival,2030,2030-02-23,thứ Bảy,lunar,22/1,khong,bien-tap va tinh-toan,
le-hoi-den-mau-au-co-2026,Lễ hội đền Mẫu Âu Cơ,Mẫu Âu Cơ Temple Festival,2026,2026-02-23,thứ Hai,lunar,7/1,khong,bien-tap va tinh-toan,
le-hoi-den-mau-au-co-2027,Lễ hội đền Mẫu Âu Cơ,Mẫu Âu Cơ Temple Festival,2027,2027-02-12,thứ Sáu,lunar,7/1,khong,bien-tap va tinh-toan,
le-hoi-den-mau-au-co-2028,Lễ hội đền Mẫu Âu Cơ,Mẫu Âu Cơ Temple Festival,2028,2028-02-01,thứ Ba,lunar,7/1,khong,bien-tap va tinh-toan,
le-hoi-den-mau-au-co-2029,Lễ hội đền Mẫu Âu Cơ,Mẫu Âu Cơ Temple Festival,2029,2029-02-19,thứ Hai,lunar,7/1,khong,bien-tap va tinh-toan,
le-hoi-den-mau-au-co-2030,Lễ hội đền Mẫu Âu Cơ,Mẫu Âu Cơ Temple Festival,2030,2030-02-08,thứ Sáu,lunar,7/1,khong,bien-tap va tinh-toan,
le-hoi-den-ong-hoang-muoi-2026,Lễ hội đền Ông Hoàng Mười,Ong Hoang Muoi Temple Festival,2026,2026-11-18,thứ Tư,lunar,10/10,khong,bien-tap va tinh-toan,
le-hoi-den-ong-hoang-muoi-2027,Lễ hội đền Ông Hoàng Mười,Ong Hoang Muoi Temple Festival,2027,2027-11-07,Chủ Nhật,lunar,10/10,khong,bien-tap va tinh-toan,
le-hoi-den-ong-hoang-muoi-2028,Lễ hội đền Ông Hoàng Mười,Ong Hoang Muoi Temple Festival,2028,2028-11-25,thứ Bảy,lunar,10/10,khong,bien-tap va tinh-toan,
le-hoi-den-ong-hoang-muoi-2029,Lễ hội đền Ông Hoàng Mười,Ong Hoang Muoi Temple Festival,2029,2029-11-15,thứ Năm,lunar,10/10,khong,bien-tap va tinh-toan,
le-hoi-den-ong-hoang-muoi-2030,Lễ hội đền Ông Hoàng Mười,Ong Hoang Muoi Temple Festival,2030,2030-11-05,thứ Ba,lunar,10/10,khong,bien-tap va tinh-toan,
le-hoi-den-tho-le-lai-2026,Lễ hội đền thờ Lê Lai,Le Lai Temple Festival,2026,2026-10-01,thứ Năm,lunar,21/8,khong,bien-tap va tinh-toan,
le-hoi-den-tho-le-lai-2027,Lễ hội đền thờ Lê Lai,Le Lai Temple Festival,2027,2027-09-21,thứ Ba,lunar,21/8,khong,bien-tap va tinh-toan,
le-hoi-den-tho-le-lai-2028,Lễ hội đền thờ Lê Lai,Le Lai Temple Festival,2028,2028-10-09,thứ Hai,lunar,21/8,khong,bien-tap va tinh-toan,
le-hoi-den-tho-le-lai-2029,Lễ hội đền thờ Lê Lai,Le Lai Temple Festival,2029,2029-09-28,thứ Sáu,lunar,21/8,khong,bien-tap va tinh-toan,
le-hoi-den-tho-le-lai-2030,Lễ hội đền thờ Lê Lai,Le Lai Temple Festival,2030,2030-09-18,thứ Tư,lunar,21/8,khong,bien-tap va tinh-toan,
le-hoi-den-thuong-lao-cai-2026,Lễ hội đền Thượng Lào Cai,"Đền Thượng Festival, Lào Cai",2026,2026-03-03,thứ Ba,lunar,15/1,khong,bien-tap va tinh-toan,
le-hoi-den-thuong-lao-cai-2027,Lễ hội đền Thượng Lào Cai,"Đền Thượng Festival, Lào Cai",2027,2027-02-20,thứ Bảy,lunar,15/1,khong,bien-tap va tinh-toan,
le-hoi-den-thuong-lao-cai-2028,Lễ hội đền Thượng Lào Cai,"Đền Thượng Festival, Lào Cai",2028,2028-02-09,thứ Tư,lunar,15/1,khong,bien-tap va tinh-toan,
le-hoi-den-thuong-lao-cai-2029,Lễ hội đền Thượng Lào Cai,"Đền Thượng Festival, Lào Cai",2029,2029-02-27,thứ Ba,lunar,15/1,khong,bien-tap va tinh-toan,
le-hoi-den-thuong-lao-cai-2030,Lễ hội đền Thượng Lào Cai,"Đền Thượng Festival, Lào Cai",2030,2030-02-16,thứ Bảy,lunar,15/1,khong,bien-tap va tinh-toan,
le-hoi-den-tran-thai-binh-2026,Lễ hội đền Trần Thái Bình,Trần Temple Festival (Thái Bình),2026,2026-03-01,Chủ Nhật,lunar,13/1,khong,bien-tap va tinh-toan,
le-hoi-den-tran-thai-binh-2027,Lễ hội đền Trần Thái Bình,Trần Temple Festival (Thái Bình),2027,2027-02-18,thứ Năm,lunar,13/1,khong,bien-tap va tinh-toan,
le-hoi-den-tran-thai-binh-2028,Lễ hội đền Trần Thái Bình,Trần Temple Festival (Thái Bình),2028,2028-02-07,thứ Hai,lunar,13/1,khong,bien-tap va tinh-toan,
le-hoi-den-tran-thai-binh-2029,Lễ hội đền Trần Thái Bình,Trần Temple Festival (Thái Bình),2029,2029-02-25,Chủ Nhật,lunar,13/1,khong,bien-tap va tinh-toan,
le-hoi-den-tran-thai-binh-2030,Lễ hội đền Trần Thái Bình,Trần Temple Festival (Thái Bình),2030,2030-02-14,thứ Năm,lunar,13/1,khong,bien-tap va tinh-toan,
le-hoi-dien-hue-nam-2026,Lễ hội điện Huệ Nam,Điện Huệ Nam Festival,2026,2026-04-18,thứ Bảy,lunar,2/3,khong,bien-tap va tinh-toan,
le-hoi-dien-hue-nam-2027,Lễ hội điện Huệ Nam,Điện Huệ Nam Festival,2027,2027-04-08,thứ Năm,lunar,2/3,khong,bien-tap va tinh-toan,
le-hoi-dien-hue-nam-2028,Lễ hội điện Huệ Nam,Điện Huệ Nam Festival,2028,2028-03-27,thứ Hai,lunar,2/3,khong,bien-tap va tinh-toan,
le-hoi-dien-hue-nam-2029,Lễ hội điện Huệ Nam,Điện Huệ Nam Festival,2029,2029-04-15,Chủ Nhật,lunar,2/3,khong,bien-tap va tinh-toan,
le-hoi-dien-hue-nam-2030,Lễ hội điện Huệ Nam,Điện Huệ Nam Festival,2030,2030-04-04,thứ Năm,lunar,2/3,khong,bien-tap va tinh-toan,
le-hoi-dinh-cau-2026,Lễ hội Dinh Cậu,Dinh Cau Shrine Festival (Phu Quoc),2026,2026-11-23,thứ Hai,lunar,15/10,khong,bien-tap va tinh-toan,
le-hoi-dinh-cau-2027,Lễ hội Dinh Cậu,Dinh Cau Shrine Festival (Phu Quoc),2027,2027-11-12,thứ Sáu,lunar,15/10,khong,bien-tap va tinh-toan,
le-hoi-dinh-cau-2028,Lễ hội Dinh Cậu,Dinh Cau Shrine Festival (Phu Quoc),2028,2028-11-30,thứ Năm,lunar,15/10,khong,bien-tap va tinh-toan,
le-hoi-dinh-cau-2029,Lễ hội Dinh Cậu,Dinh Cau Shrine Festival (Phu Quoc),2029,2029-11-20,thứ Ba,lunar,15/10,khong,bien-tap va tinh-toan,
le-hoi-dinh-cau-2030,Lễ hội Dinh Cậu,Dinh Cau Shrine Festival (Phu Quoc),2030,2030-11-10,Chủ Nhật,lunar,15/10,khong,bien-tap va tinh-toan,
le-hoi-dinh-chem-2026,Lễ hội đình Chèm,Đình Chèm Festival,2026,2026-06-29,thứ Hai,lunar,15/5,khong,bien-tap va tinh-toan,
le-hoi-dinh-chem-2027,Lễ hội đình Chèm,Đình Chèm Festival,2027,2027-06-19,thứ Bảy,lunar,15/5,khong,bien-tap va tinh-toan,
le-hoi-dinh-chem-2028,Lễ hội đình Chèm,Đình Chèm Festival,2028,2028-06-07,thứ Tư,lunar,15/5,khong,bien-tap va tinh-toan,
le-hoi-dinh-chem-2029,Lễ hội đình Chèm,Đình Chèm Festival,2029,2029-06-26,thứ Ba,lunar,15/5,khong,bien-tap va tinh-toan,
le-hoi-dinh-chem-2030,Lễ hội đình Chèm,Đình Chèm Festival,2030,2030-06-15,thứ Bảy,lunar,15/5,khong,bien-tap va tinh-toan,
le-hoi-dinh-co-long-hai-2026,Lễ hội Dinh Cô Long Hải,"Dinh Cô Festival, Long Hải",2026,2026-03-28,thứ Bảy,lunar,10/2,khong,bien-tap va tinh-toan,
le-hoi-dinh-co-long-hai-2027,Lễ hội Dinh Cô Long Hải,"Dinh Cô Festival, Long Hải",2027,2027-03-17,thứ Tư,lunar,10/2,khong,bien-tap va tinh-toan,
le-hoi-dinh-co-long-hai-2028,Lễ hội Dinh Cô Long Hải,"Dinh Cô Festival, Long Hải",2028,2028-03-05,Chủ Nhật,lunar,10/2,khong,bien-tap va tinh-toan,
le-hoi-dinh-co-long-hai-2029,Lễ hội Dinh Cô Long Hải,"Dinh Cô Festival, Long Hải",2029,2029-03-24,thứ Bảy,lunar,10/2,khong,bien-tap va tinh-toan,
le-hoi-dinh-co-long-hai-2030,Lễ hội Dinh Cô Long Hải,"Dinh Cô Festival, Long Hải",2030,2030-03-13,thứ Tư,lunar,10/2,khong,bien-tap va tinh-toan,
le-hoi-dinh-than-nguyen-trung-truc-rach-gia-2026,Lễ hội đình thần Nguyễn Trung Trực (Rạch Giá),Nguyen Trung Truc Temple Festival (Rach Gia),2026,2026-10-06,thứ Ba,lunar,26/8,khong,bien-tap va tinh-toan,
le-hoi-dinh-than-nguyen-trung-truc-rach-gia-2027,Lễ hội đình thần Nguyễn Trung Trực (Rạch Giá),Nguyen Trung Truc Temple Festival (Rach Gia),2027,2027-09-26,Chủ Nhật,lunar,26/8,khong,bien-tap va tinh-toan,
