id,nam,cung,cung_en,hoang_kinh,ngay_vao_cung,gio,phut,sat_nua_dem,nguon,ghi_chu
1974-270,1974,Ma Kết,Capricorn,270,1974-12-22,12,49,khong,tinh-toan,
1975-300,1975,Bảo Bình,Aquarius,300,1975-01-20,23,28,khong,tinh-toan,
1975-330,1975,Song Ngư,Pisces,330,1975-02-19,13,42,khong,tinh-toan,
1975-000,1975,Bạch Dương,Aries,0,1975-03-21,12,52,khong,tinh-toan,
1975-030,1975,Kim Ngưu,Taurus,30,1975-04-21,0,7,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1975-060,1975,Song Tử,Gemini,60,1975-05-21,23,26,khong,tinh-toan,
1975-090,1975,Cự Giải,Cancer,90,1975-06-22,7,31,khong,tinh-toan,
1975-120,1975,Sư Tử,Leo,120,1975-07-23,18,25,khong,tinh-toan,
1975-150,1975,Xử Nữ,Virgo,150,1975-08-24,1,23,khong,tinh-toan,
1975-180,1975,Thiên Bình,Libra,180,1975-09-23,22,52,khong,tinh-toan,
1975-210,1975,Bọ Cạp,Scorpio,210,1975-10-24,8,0,khong,tinh-toan,
1975-240,1975,Nhân Mã,Sagittarius,240,1975-11-23,5,24,khong,tinh-toan,
1975-270,1975,Ma Kết,Capricorn,270,1975-12-22,18,39,khong,tinh-toan,
1976-300,1976,Bảo Bình,Aquarius,300,1976-01-21,5,17,khong,tinh-toan,
1976-330,1976,Song Ngư,Pisces,330,1976-02-19,19,31,khong,tinh-toan,
1976-000,1976,Bạch Dương,Aries,0,1976-03-20,18,41,khong,tinh-toan,
1976-030,1976,Kim Ngưu,Taurus,30,1976-04-20,5,55,khong,tinh-toan,
1976-060,1976,Song Tử,Gemini,60,1976-05-21,5,14,khong,tinh-toan,
1976-090,1976,Cự Giải,Cancer,90,1976-06-21,13,19,khong,tinh-toan,
1976-120,1976,Sư Tử,Leo,120,1976-07-23,0,12,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1976-150,1976,Xử Nữ,Virgo,150,1976-08-23,7,11,khong,tinh-toan,
1976-180,1976,Thiên Bình,Libra,180,1976-09-23,4,40,khong,tinh-toan,
1976-210,1976,Bọ Cạp,Scorpio,210,1976-10-23,13,49,khong,tinh-toan,
1976-240,1976,Nhân Mã,Sagittarius,240,1976-11-22,11,13,khong,tinh-toan,
1976-270,1976,Ma Kết,Capricorn,270,1976-12-22,0,28,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1977-300,1977,Bảo Bình,Aquarius,300,1977-01-20,11,7,khong,tinh-toan,
1977-330,1977,Song Ngư,Pisces,330,1977-02-19,1,21,khong,tinh-toan,
1977-000,1977,Bạch Dương,Aries,0,1977-03-21,0,30,khong,tinh-toan,
1977-030,1977,Kim Ngưu,Taurus,30,1977-04-20,11,44,khong,tinh-toan,
1977-060,1977,Song Tử,Gemini,60,1977-05-21,11,2,khong,tinh-toan,
1977-090,1977,Cự Giải,Cancer,90,1977-06-21,19,6,khong,tinh-toan,
1977-120,1977,Sư Tử,Leo,120,1977-07-23,6,0,khong,tinh-toan,
1977-150,1977,Xử Nữ,Virgo,150,1977-08-23,12,59,khong,tinh-toan,
1977-180,1977,Thiên Bình,Libra,180,1977-09-23,10,28,khong,tinh-toan,
1977-210,1977,Bọ Cạp,Scorpio,210,1977-10-23,19,38,khong,tinh-toan,
1977-240,1977,Nhân Mã,Sagittarius,240,1977-11-22,17,3,khong,tinh-toan,
1977-270,1977,Ma Kết,Capricorn,270,1977-12-22,6,18,khong,tinh-toan,
1978-300,1978,Bảo Bình,Aquarius,300,1978-01-20,16,57,khong,tinh-toan,
1978-330,1978,Song Ngư,Pisces,330,1978-02-19,7,10,khong,tinh-toan,
1978-000,1978,Bạch Dương,Aries,0,1978-03-21,6,19,khong,tinh-toan,
1978-030,1978,Kim Ngưu,Taurus,30,1978-04-20,17,33,khong,tinh-toan,
1978-060,1978,Song Tử,Gemini,60,1978-05-21,16,50,khong,tinh-toan,
1978-090,1978,Cự Giải,Cancer,90,1978-06-22,0,54,khong,tinh-toan,
1978-120,1978,Sư Tử,Leo,120,1978-07-23,11,48,khong,tinh-toan,
1978-150,1978,Xử Nữ,Virgo,150,1978-08-23,18,47,khong,tinh-toan,
1978-180,1978,Thiên Bình,Libra,180,1978-09-23,16,17,khong,tinh-toan,
1978-210,1978,Bọ Cạp,Scorpio,210,1978-10-24,1,27,khong,tinh-toan,
1978-240,1978,Nhân Mã,Sagittarius,240,1978-11-22,22,52,khong,tinh-toan,
1978-270,1978,Ma Kết,Capricorn,270,1978-12-22,12,7,khong,tinh-toan,
1979-300,1979,Bảo Bình,Aquarius,300,1979-01-20,22,46,khong,tinh-toan,
1979-330,1979,Song Ngư,Pisces,330,1979-02-19,12,59,khong,tinh-toan,
1979-000,1979,Bạch Dương,Aries,0,1979-03-21,12,8,khong,tinh-toan,
1979-030,1979,Kim Ngưu,Taurus,30,1979-04-20,23,21,khong,tinh-toan,
1979-060,1979,Song Tử,Gemini,60,1979-05-21,22,39,khong,tinh-toan,
1979-090,1979,Cự Giải,Cancer,90,1979-06-22,6,42,khong,tinh-toan,
1979-120,1979,Sư Tử,Leo,120,1979-07-23,17,36,khong,tinh-toan,
1979-150,1979,Xử Nữ,Virgo,150,1979-08-24,0,36,khong,tinh-toan,
1979-180,1979,Thiên Bình,Libra,180,1979-09-23,22,5,khong,tinh-toan,
1979-210,1979,Bọ Cạp,Scorpio,210,1979-10-24,7,16,khong,tinh-toan,
1979-240,1979,Nhân Mã,Sagittarius,240,1979-11-23,4,41,khong,tinh-toan,
1979-270,1979,Ma Kết,Capricorn,270,1979-12-22,17,56,khong,tinh-toan,
1980-300,1980,Bảo Bình,Aquarius,300,1980-01-21,4,36,khong,tinh-toan,
1980-330,1980,Song Ngư,Pisces,330,1980-02-19,18,49,khong,tinh-toan,
1980-000,1980,Bạch Dương,Aries,0,1980-03-20,17,57,khong,tinh-toan,
1980-030,1980,Kim Ngưu,Taurus,30,1980-04-20,5,9,khong,tinh-toan,
1980-060,1980,Song Tử,Gemini,60,1980-05-21,4,27,khong,tinh-toan,
1980-090,1980,Cự Giải,Cancer,90,1980-06-21,12,30,khong,tinh-toan,
1980-120,1980,Sư Tử,Leo,120,1980-07-22,23,24,khong,tinh-toan,
1980-150,1980,Xử Nữ,Virgo,150,1980-08-23,6,24,khong,tinh-toan,
1980-180,1980,Thiên Bình,Libra,180,1980-09-23,3,54,khong,tinh-toan,
1980-210,1980,Bọ Cạp,Scorpio,210,1980-10-23,13,5,khong,tinh-toan,
1980-240,1980,Nhân Mã,Sagittarius,240,1980-11-22,10,31,khong,tinh-toan,
1980-270,1980,Ma Kết,Capricorn,270,1980-12-21,23,46,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1981-300,1981,Bảo Bình,Aquarius,300,1981-01-20,10,26,khong,tinh-toan,
1981-330,1981,Song Ngư,Pisces,330,1981-02-19,0,38,khong,tinh-toan,
1981-000,1981,Bạch Dương,Aries,0,1981-03-20,23,46,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1981-030,1981,Kim Ngưu,Taurus,30,1981-04-20,10,58,khong,tinh-toan,
1981-060,1981,Song Tử,Gemini,60,1981-05-21,10,15,khong,tinh-toan,
1981-090,1981,Cự Giải,Cancer,90,1981-06-21,18,18,khong,tinh-toan,
1981-120,1981,Sư Tử,Leo,120,1981-07-23,5,12,khong,tinh-toan,
1981-150,1981,Xử Nữ,Virgo,150,1981-08-23,12,12,khong,tinh-toan,
1981-180,1981,Thiên Bình,Libra,180,1981-09-23,9,42,khong,tinh-toan,
1981-210,1981,Bọ Cạp,Scorpio,210,1981-10-23,18,54,khong,tinh-toan,
1981-240,1981,Nhân Mã,Sagittarius,240,1981-11-22,16,20,khong,tinh-toan,
1981-270,1981,Ma Kết,Capricorn,270,1981-12-22,5,35,khong,tinh-toan,
1982-300,1982,Bảo Bình,Aquarius,300,1982-01-20,16,14,khong,tinh-toan,
1982-330,1982,Song Ngư,Pisces,330,1982-02-19,6,28,khong,tinh-toan,
1982-000,1982,Bạch Dương,Aries,0,1982-03-21,5,35,khong,tinh-toan,
1982-030,1982,Kim Ngưu,Taurus,30,1982-04-20,16,47,khong,tinh-toan,
1982-060,1982,Song Tử,Gemini,60,1982-05-21,16,4,khong,tinh-toan,
1982-090,1982,Cự Giải,Cancer,90,1982-06-22,0,6,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1982-120,1982,Sư Tử,Leo,120,1982-07-23,11,0,khong,tinh-toan,
1982-150,1982,Xử Nữ,Virgo,150,1982-08-23,18,0,khong,tinh-toan,
1982-180,1982,Thiên Bình,Libra,180,1982-09-23,15,30,khong,tinh-toan,
1982-210,1982,Bọ Cạp,Scorpio,210,1982-10-24,0,43,khong,tinh-toan,
1982-240,1982,Nhân Mã,Sagittarius,240,1982-11-22,22,10,khong,tinh-toan,
1982-270,1982,Ma Kết,Capricorn,270,1982-12-22,11,25,khong,tinh-toan,
1983-300,1983,Bảo Bình,Aquarius,300,1983-01-20,22,4,khong,tinh-toan,
1983-330,1983,Song Ngư,Pisces,330,1983-02-19,12,17,khong,tinh-toan,
1983-000,1983,Bạch Dương,Aries,0,1983-03-21,11,24,khong,tinh-toan,
1983-030,1983,Kim Ngưu,Taurus,30,1983-04-20,22,35,khong,tinh-toan,
1983-060,1983,Song Tử,Gemini,60,1983-05-21,21,52,khong,tinh-toan,
1983-090,1983,Cự Giải,Cancer,90,1983-06-22,5,54,khong,tinh-toan,
1983-120,1983,Sư Tử,Leo,120,1983-07-23,16,48,khong,tinh-toan,
1983-150,1983,Xử Nữ,Virgo,150,1983-08-23,23,48,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1983-180,1983,Thiên Bình,Libra,180,1983-09-23,21,19,khong,tinh-toan,
1983-210,1983,Bọ Cạp,Scorpio,210,1983-10-24,6,32,khong,tinh-toan,
1983-240,1983,Nhân Mã,Sagittarius,240,1983-11-23,3,59,khong,tinh-toan,
1983-270,1983,Ma Kết,Capricorn,270,1983-12-22,17,15,khong,tinh-toan,
1984-300,1984,Bảo Bình,Aquarius,300,1984-01-21,3,54,khong,tinh-toan,
1984-330,1984,Song Ngư,Pisces,330,1984-02-19,18,7,khong,tinh-toan,
1984-000,1984,Bạch Dương,Aries,0,1984-03-20,17,13,khong,tinh-toan,
1984-030,1984,Kim Ngưu,Taurus,30,1984-04-20,4,23,khong,tinh-toan,
1984-060,1984,Song Tử,Gemini,60,1984-05-21,3,39,khong,tinh-toan,
1984-090,1984,Cự Giải,Cancer,90,1984-06-21,11,42,khong,tinh-toan,
1984-120,1984,Sư Tử,Leo,120,1984-07-22,22,36,khong,tinh-toan,
1984-150,1984,Xử Nữ,Virgo,150,1984-08-23,5,36,khong,tinh-toan,
1984-180,1984,Thiên Bình,Libra,180,1984-09-23,3,8,khong,tinh-toan,
1984-210,1984,Bọ Cạp,Scorpio,210,1984-10-23,12,21,khong,tinh-toan,
1984-240,1984,Nhân Mã,Sagittarius,240,1984-11-22,9,48,khong,tinh-toan,
1984-270,1984,Ma Kết,Capricorn,270,1984-12-21,23,4,khong,tinh-toan,
1985-300,1985,Bảo Bình,Aquarius,300,1985-01-20,9,43,khong,tinh-toan,
1985-330,1985,Song Ngư,Pisces,330,1985-02-18,23,56,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1985-000,1985,Bạch Dương,Aries,0,1985-03-20,23,2,khong,tinh-toan,
1985-030,1985,Kim Ngưu,Taurus,30,1985-04-20,10,12,khong,tinh-toan,
1985-060,1985,Song Tử,Gemini,60,1985-05-21,9,28,khong,tinh-toan,
1985-090,1985,Cự Giải,Cancer,90,1985-06-21,17,30,khong,tinh-toan,
1985-120,1985,Sư Tử,Leo,120,1985-07-23,4,23,khong,tinh-toan,
1985-150,1985,Xử Nữ,Virgo,150,1985-08-23,11,24,khong,tinh-toan,
1985-180,1985,Thiên Bình,Libra,180,1985-09-23,8,57,khong,tinh-toan,
1985-210,1985,Bọ Cạp,Scorpio,210,1985-10-23,18,10,khong,tinh-toan,
1985-240,1985,Nhân Mã,Sagittarius,240,1985-11-22,15,38,khong,tinh-toan,
1985-270,1985,Ma Kết,Capricorn,270,1985-12-22,4,54,khong,tinh-toan,
1986-300,1986,Bảo Bình,Aquarius,300,1986-01-20,15,33,khong,tinh-toan,
1986-330,1986,Song Ngư,Pisces,330,1986-02-19,5,45,khong,tinh-toan,
1986-000,1986,Bạch Dương,Aries,0,1986-03-21,4,52,khong,tinh-toan,
1986-030,1986,Kim Ngưu,Taurus,30,1986-04-20,16,1,khong,tinh-toan,
1986-060,1986,Song Tử,Gemini,60,1986-05-21,15,16,khong,tinh-toan,
1986-090,1986,Cự Giải,Cancer,90,1986-06-21,23,18,khong,tinh-toan,
1986-120,1986,Sư Tử,Leo,120,1986-07-23,10,11,khong,tinh-toan,
1986-150,1986,Xử Nữ,Virgo,150,1986-08-23,17,12,khong,tinh-toan,
1986-180,1986,Thiên Bình,Libra,180,1986-09-23,14,45,khong,tinh-toan,
1986-210,1986,Bọ Cạp,Scorpio,210,1986-10-23,23,59,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1986-240,1986,Nhân Mã,Sagittarius,240,1986-11-22,21,26,khong,tinh-toan,
1986-270,1986,Ma Kết,Capricorn,270,1986-12-22,10,43,khong,tinh-toan,
1987-300,1987,Bảo Bình,Aquarius,300,1987-01-20,21,23,khong,tinh-toan,
1987-330,1987,Song Ngư,Pisces,330,1987-02-19,11,35,khong,tinh-toan,
1987-000,1987,Bạch Dương,Aries,0,1987-03-21,10,40,khong,tinh-toan,
1987-030,1987,Kim Ngưu,Taurus,30,1987-04-20,21,49,khong,tinh-toan,
1987-060,1987,Song Tử,Gemini,60,1987-05-21,21,4,khong,tinh-toan,
1987-090,1987,Cự Giải,Cancer,90,1987-06-22,5,6,khong,tinh-toan,
1987-120,1987,Sư Tử,Leo,120,1987-07-23,16,0,khong,tinh-toan,
1987-150,1987,Xử Nữ,Virgo,150,1987-08-23,23,0,khong,tinh-toan,
1987-180,1987,Thiên Bình,Libra,180,1987-09-23,20,34,khong,tinh-toan,
1987-210,1987,Bọ Cạp,Scorpio,210,1987-10-24,5,48,khong,tinh-toan,
1987-240,1987,Nhân Mã,Sagittarius,240,1987-11-23,3,16,khong,tinh-toan,
1987-270,1987,Ma Kết,Capricorn,270,1987-12-22,16,33,khong,tinh-toan,
1988-300,1988,Bảo Bình,Aquarius,300,1988-01-21,3,12,khong,tinh-toan,
1988-330,1988,Song Ngư,Pisces,330,1988-02-19,17,24,khong,tinh-toan,
1988-000,1988,Bạch Dương,Aries,0,1988-03-20,16,29,khong,tinh-toan,
1988-030,1988,Kim Ngưu,Taurus,30,1988-04-20,3,39,khong,tinh-toan,
1988-060,1988,Song Tử,Gemini,60,1988-05-21,2,53,khong,tinh-toan,
1988-090,1988,Cự Giải,Cancer,90,1988-06-21,10,54,khong,tinh-toan,
1988-120,1988,Sư Tử,Leo,120,1988-07-22,21,48,khong,tinh-toan,
1988-150,1988,Xử Nữ,Virgo,150,1988-08-23,4,49,khong,tinh-toan,
1988-180,1988,Thiên Bình,Libra,180,1988-09-23,2,22,khong,tinh-toan,
1988-210,1988,Bọ Cạp,Scorpio,210,1988-10-23,11,37,khong,tinh-toan,
1988-240,1988,Nhân Mã,Sagittarius,240,1988-11-22,9,6,khong,tinh-toan,
1988-270,1988,Ma Kết,Capricorn,270,1988-12-21,22,23,khong,tinh-toan,
1989-300,1989,Bảo Bình,Aquarius,300,1989-01-20,9,2,khong,tinh-toan,
1989-330,1989,Song Ngư,Pisces,330,1989-02-18,23,14,khong,tinh-toan,
1989-000,1989,Bạch Dương,Aries,0,1989-03-20,22,18,khong,tinh-toan,
1989-030,1989,Kim Ngưu,Taurus,30,1989-04-20,9,27,khong,tinh-toan,
1989-060,1989,Song Tử,Gemini,60,1989-05-21,8,41,khong,tinh-toan,
1989-090,1989,Cự Giải,Cancer,90,1989-06-21,16,42,khong,tinh-toan,
1989-120,1989,Sư Tử,Leo,120,1989-07-23,3,35,khong,tinh-toan,
1989-150,1989,Xử Nữ,Virgo,150,1989-08-23,10,37,khong,tinh-toan,
1989-180,1989,Thiên Bình,Libra,180,1989-09-23,8,10,khong,tinh-toan,
1989-210,1989,Bọ Cạp,Scorpio,210,1989-10-23,17,26,khong,tinh-toan,
1989-240,1989,Nhân Mã,Sagittarius,240,1989-11-22,14,54,khong,tinh-toan,
1989-270,1989,Ma Kết,Capricorn,270,1989-12-22,4,12,khong,tinh-toan,
1990-300,1990,Bảo Bình,Aquarius,300,1990-01-20,14,51,khong,tinh-toan,
1990-330,1990,Song Ngư,Pisces,330,1990-02-19,5,3,khong,tinh-toan,
1990-000,1990,Bạch Dương,Aries,0,1990-03-21,4,8,khong,tinh-toan,
1990-030,1990,Kim Ngưu,Taurus,30,1990-04-20,15,16,khong,tinh-toan,
1990-060,1990,Song Tử,Gemini,60,1990-05-21,14,29,khong,tinh-toan,
1990-090,1990,Cự Giải,Cancer,90,1990-06-21,22,30,khong,tinh-toan,
1990-120,1990,Sư Tử,Leo,120,1990-07-23,9,23,khong,tinh-toan,
1990-150,1990,Xử Nữ,Virgo,150,1990-08-23,16,25,khong,tinh-toan,
1990-180,1990,Thiên Bình,Libra,180,1990-09-23,13,59,khong,tinh-toan,
1990-210,1990,Bọ Cạp,Scorpio,210,1990-10-23,23,15,khong,tinh-toan,
1990-240,1990,Nhân Mã,Sagittarius,240,1990-11-22,20,44,khong,tinh-toan,
1990-270,1990,Ma Kết,Capricorn,270,1990-12-22,10,2,khong,tinh-toan,
1991-300,1991,Bảo Bình,Aquarius,300,1991-01-20,20,41,khong,tinh-toan,
1991-330,1991,Song Ngư,Pisces,330,1991-02-19,10,52,khong,tinh-toan,
1991-000,1991,Bạch Dương,Aries,0,1991-03-21,9,57,khong,tinh-toan,
1991-030,1991,Kim Ngưu,Taurus,30,1991-04-20,21,4,khong,tinh-toan,
1991-060,1991,Song Tử,Gemini,60,1991-05-21,20,17,khong,tinh-toan,
1991-090,1991,Cự Giải,Cancer,90,1991-06-22,4,17,khong,tinh-toan,
1991-120,1991,Sư Tử,Leo,120,1991-07-23,15,11,khong,tinh-toan,
1991-150,1991,Xử Nữ,Virgo,150,1991-08-23,22,13,khong,tinh-toan,
1991-180,1991,Thiên Bình,Libra,180,1991-09-23,19,47,khong,tinh-toan,
1991-210,1991,Bọ Cạp,Scorpio,210,1991-10-24,5,3,khong,tinh-toan,
1991-240,1991,Nhân Mã,Sagittarius,240,1991-11-23,2,34,khong,tinh-toan,
1991-270,1991,Ma Kết,Capricorn,270,1991-12-22,15,51,khong,tinh-toan,
1992-300,1992,Bảo Bình,Aquarius,300,1992-01-21,2,30,khong,tinh-toan,
1992-330,1992,Song Ngư,Pisces,330,1992-02-19,16,42,khong,tinh-toan,
1992-000,1992,Bạch Dương,Aries,0,1992-03-20,15,45,khong,tinh-toan,
1992-030,1992,Kim Ngưu,Taurus,30,1992-04-20,2,53,khong,tinh-toan,
1992-060,1992,Song Tử,Gemini,60,1992-05-21,2,5,khong,tinh-toan,
1992-090,1992,Cự Giải,Cancer,90,1992-06-21,10,5,khong,tinh-toan,
1992-120,1992,Sư Tử,Leo,120,1992-07-22,20,59,khong,tinh-toan,
1992-150,1992,Xử Nữ,Virgo,150,1992-08-23,4,1,khong,tinh-toan,
1992-180,1992,Thiên Bình,Libra,180,1992-09-23,1,36,khong,tinh-toan,
1992-210,1992,Bọ Cạp,Scorpio,210,1992-10-23,10,52,khong,tinh-toan,
1992-240,1992,Nhân Mã,Sagittarius,240,1992-11-22,8,22,khong,tinh-toan,
1992-270,1992,Ma Kết,Capricorn,270,1992-12-21,21,41,khong,tinh-toan,
1993-300,1993,Bảo Bình,Aquarius,300,1993-01-20,8,20,khong,tinh-toan,
1993-330,1993,Song Ngư,Pisces,330,1993-02-18,22,31,khong,tinh-toan,
1993-000,1993,Bạch Dương,Aries,0,1993-03-20,21,34,khong,tinh-toan,
1993-030,1993,Kim Ngưu,Taurus,30,1993-04-20,8,41,khong,tinh-toan,
1993-060,1993,Song Tử,Gemini,60,1993-05-21,7,53,khong,tinh-toan,
1993-090,1993,Cự Giải,Cancer,90,1993-06-21,15,53,khong,tinh-toan,
1993-120,1993,Sư Tử,Leo,120,1993-07-23,2,47,khong,tinh-toan,
1993-150,1993,Xử Nữ,Virgo,150,1993-08-23,9,49,khong,tinh-toan,
1993-180,1993,Thiên Bình,Libra,180,1993-09-23,7,24,khong,tinh-toan,
1993-210,1993,Bọ Cạp,Scorpio,210,1993-10-23,16,42,khong,tinh-toan,
1993-240,1993,Nhân Mã,Sagittarius,240,1993-11-22,14,12,khong,tinh-toan,
1993-270,1993,Ma Kết,Capricorn,270,1993-12-22,3,30,khong,tinh-toan,
1994-300,1994,Bảo Bình,Aquarius,300,1994-01-20,14,10,khong,tinh-toan,
1994-330,1994,Song Ngư,Pisces,330,1994-02-19,4,20,khong,tinh-toan,
1994-000,1994,Bạch Dương,Aries,0,1994-03-21,3,24,khong,tinh-toan,
1994-030,1994,Kim Ngưu,Taurus,30,1994-04-20,14,30,khong,tinh-toan,
1994-060,1994,Song Tử,Gemini,60,1994-05-21,13,42,khong,tinh-toan,
1994-090,1994,Cự Giải,Cancer,90,1994-06-21,21,41,khong,tinh-toan,
1994-120,1994,Sư Tử,Leo,120,1994-07-23,8,35,khong,tinh-toan,
1994-150,1994,Xử Nữ,Virgo,150,1994-08-23,15,38,khong,tinh-toan,
1994-180,1994,Thiên Bình,Libra,180,1994-09-23,13,13,khong,tinh-toan,
1994-210,1994,Bọ Cạp,Scorpio,210,1994-10-23,22,31,khong,tinh-toan,
1994-240,1994,Nhân Mã,Sagittarius,240,1994-11-22,20,1,khong,tinh-toan,
1994-270,1994,Ma Kết,Capricorn,270,1994-12-22,9,20,khong,tinh-toan,
1995-300,1995,Bảo Bình,Aquarius,300,1995-01-20,19,59,khong,tinh-toan,
1995-330,1995,Song Ngư,Pisces,330,1995-02-19,10,10,khong,tinh-toan,
1995-000,1995,Bạch Dương,Aries,0,1995-03-21,9,13,khong,tinh-toan,
1995-030,1995,Kim Ngưu,Taurus,30,1995-04-20,20,18,khong,tinh-toan,
1995-060,1995,Song Tử,Gemini,60,1995-05-21,19,30,khong,tinh-toan,
1995-090,1995,Cự Giải,Cancer,90,1995-06-22,3,29,khong,tinh-toan,
1995-120,1995,Sư Tử,Leo,120,1995-07-23,14,23,khong,tinh-toan,
1995-150,1995,Xử Nữ,Virgo,150,1995-08-23,21,26,khong,tinh-toan,
1995-180,1995,Thiên Bình,Libra,180,1995-09-23,19,1,khong,tinh-toan,
1995-210,1995,Bọ Cạp,Scorpio,210,1995-10-24,4,19,khong,tinh-toan,
1995-240,1995,Nhân Mã,Sagittarius,240,1995-11-23,1,50,khong,tinh-toan,
1995-270,1995,Ma Kết,Capricorn,270,1995-12-22,15,9,khong,tinh-toan,
1996-300,1996,Bảo Bình,Aquarius,300,1996-01-21,1,49,khong,tinh-toan,
1996-330,1996,Song Ngư,Pisces,330,1996-02-19,16,0,khong,tinh-toan,
1996-000,1996,Bạch Dương,Aries,0,1996-03-20,15,1,khong,tinh-toan,
1996-030,1996,Kim Ngưu,Taurus,30,1996-04-20,2,7,khong,tinh-toan,
1996-060,1996,Song Tử,Gemini,60,1996-05-21,1,18,khong,tinh-toan,
1996-090,1996,Cự Giải,Cancer,90,1996-06-21,9,17,khong,tinh-toan,
1996-120,1996,Sư Tử,Leo,120,1996-07-22,20,11,khong,tinh-toan,
1996-150,1996,Xử Nữ,Virgo,150,1996-08-23,3,14,khong,tinh-toan,
1996-180,1996,Thiên Bình,Libra,180,1996-09-23,0,50,khong,tinh-toan,
1996-210,1996,Bọ Cạp,Scorpio,210,1996-10-23,10,8,khong,tinh-toan,
1996-240,1996,Nhân Mã,Sagittarius,240,1996-11-22,7,40,khong,tinh-toan,
1996-270,1996,Ma Kết,Capricorn,270,1996-12-21,20,59,khong,tinh-toan,
1997-300,1997,Bảo Bình,Aquarius,300,1997-01-20,7,39,khong,tinh-toan,
1997-330,1997,Song Ngư,Pisces,330,1997-02-18,21,48,khong,tinh-toan,
1997-000,1997,Bạch Dương,Aries,0,1997-03-20,20,50,khong,tinh-toan,
1997-030,1997,Kim Ngưu,Taurus,30,1997-04-20,7,55,khong,tinh-toan,
1997-060,1997,Song Tử,Gemini,60,1997-05-21,7,6,khong,tinh-toan,
1997-090,1997,Cự Giải,Cancer,90,1997-06-21,15,5,khong,tinh-toan,
1997-120,1997,Sư Tử,Leo,120,1997-07-23,1,58,khong,tinh-toan,
1997-150,1997,Xử Nữ,Virgo,150,1997-08-23,9,2,khong,tinh-toan,
1997-180,1997,Thiên Bình,Libra,180,1997-09-23,6,39,khong,tinh-toan,
1997-210,1997,Bọ Cạp,Scorpio,210,1997-10-23,15,57,khong,tinh-toan,
1997-240,1997,Nhân Mã,Sagittarius,240,1997-11-22,13,29,khong,tinh-toan,
1997-270,1997,Ma Kết,Capricorn,270,1997-12-22,2,48,khong,tinh-toan,
1998-300,1998,Bảo Bình,Aquarius,300,1998-01-20,13,27,khong,tinh-toan,
1998-330,1998,Song Ngư,Pisces,330,1998-02-19,3,38,khong,tinh-toan,
1998-000,1998,Bạch Dương,Aries,0,1998-03-21,2,40,khong,tinh-toan,
1998-030,1998,Kim Ngưu,Taurus,30,1998-04-20,13,44,khong,tinh-toan,
1998-060,1998,Song Tử,Gemini,60,1998-05-21,12,54,khong,tinh-toan,
1998-090,1998,Cự Giải,Cancer,90,1998-06-21,20,53,khong,tinh-toan,
1998-120,1998,Sư Tử,Leo,120,1998-07-23,7,46,khong,tinh-toan,
1998-150,1998,Xử Nữ,Virgo,150,1998-08-23,14,50,khong,tinh-toan,
1998-180,1998,Thiên Bình,Libra,180,1998-09-23,12,27,khong,tinh-toan,
1998-210,1998,Bọ Cạp,Scorpio,210,1998-10-23,21,46,khong,tinh-toan,
1998-240,1998,Nhân Mã,Sagittarius,240,1998-11-22,19,18,khong,tinh-toan,
1998-270,1998,Ma Kết,Capricorn,270,1998-12-22,8,38,khong,tinh-toan,
1999-300,1999,Bảo Bình,Aquarius,300,1999-01-20,19,17,khong,tinh-toan,
1999-330,1999,Song Ngư,Pisces,330,1999-02-19,9,28,khong,tinh-toan,
1999-000,1999,Bạch Dương,Aries,0,1999-03-21,8,29,khong,tinh-toan,
1999-030,1999,Kim Ngưu,Taurus,30,1999-04-20,19,32,khong,tinh-toan,
1999-060,1999,Song Tử,Gemini,60,1999-05-21,18,43,khong,tinh-toan,
1999-090,1999,Cự Giải,Cancer,90,1999-06-22,2,41,khong,tinh-toan,
1999-120,1999,Sư Tử,Leo,120,1999-07-23,13,34,khong,tinh-toan,
1999-150,1999,Xử Nữ,Virgo,150,1999-08-23,20,38,khong,tinh-toan,
1999-180,1999,Thiên Bình,Libra,180,1999-09-23,18,16,khong,tinh-toan,
1999-210,1999,Bọ Cạp,Scorpio,210,1999-10-24,3,35,khong,tinh-toan,
1999-240,1999,Nhân Mã,Sagittarius,240,1999-11-23,1,7,khong,tinh-toan,
1999-270,1999,Ma Kết,Capricorn,270,1999-12-22,14,27,khong,tinh-toan,
2000-300,2000,Bảo Bình,Aquarius,300,2000-01-21,1,7,khong,tinh-toan,
